Date,Country,Almacenamiento_Bateria,BioGas,Carbon,Cogeneracion,Diesel,Eolica,Fuel Oil,Gas_Natural,Geotermica,PetCoke,Biomasa,Hidraulica,Solar
1/1/2016,Chile,20.7257,613,78127.0381,329.55,2703.309,4795.964826,0,10909.3,0,1357,2632.4,60642.2412,5839.748751
1/2/2016,Chile,15.6891,715.1,80404.5651,339.23,2706.7,3537.218453,0,8446.4,0,1321,5462.8,74616.0493,5984.850997
1/3/2016,Chile,20.7672,697.8,83436.7898,341.1,2719.7,3100.492564,0,3590.4,0,1327,5734.1,74182.5306,5772.625467
1/4/2016,Chile,23.7735,723.8,85999.7995,342.72,4240.508,4072.380775,0,9018.7,0,1354,5598.7,87466.1681,5672.728659
1/5/2016,Chile,5.7834,697.7,82014.2171,336,3231.91,2962.802546,52.5,15380.9,0,1366,5763.4,89947.4507,5097.289293
1/6/2016,Chile,11.04,353.4,79558.9803,305.2,4285.53,2941.984144,0,19696.6,0,1339,5836.7,85933.3163,5719.009296
1/7/2016,Chile,21.589,582.3,80989.1258,89.75,4098.9579,2099.99881,20.1,27801.2,0,1277,5676.5,77992.7656,5422.044899
1/8/2016,Chile,16.9557,699,83973.649,0,5738.2002,2999.233934,0,29835.9,0,1247,5657.2,72530.8493,5746.200271
1/9/2016,Chile,12.3433,669.4,83060.6812,0,5903.241,6810.679619,0,19934.1,0,1296,6395.8,69156.5825,5787.795167
1/10/2016,Chile,10.2816,691.7,78792.997,0,6195.293,5181.373531,0,17832.3,0,1310,5928.2,61989.7439,5911.453172
1/11/2016,Chile,15.8475,680.3,81662.2504,0,2864.89,4971.314025,0,26831.9,0,1306,5942.5,73870.2951,5643.965948
1/12/2016,Chile,10.0942,668.1,80205.8057,0,2304.318,7745.556958,0,27440,0,1295,5805.6,72924.8617,5361.470423
1/13/2016,Chile,11.7739,576.3,80785.8052,0,1044.966,6404.025629,0,26492.5,0,1284,5416.9,76148.4606,5583.28085
1/14/2016,Chile,18.4154,631.1,85653.3228,0,1320.292,6915.605605,0,26651.2,0,1286,5444.4,72869.2323,5767.812307
1/15/2016,Chile,14.0577,639.1,87500.1199,0,1435.615,10292.01307,0,24242.9,0,1270,4798.7,69450.3964,5927.221671
1/16/2016,Chile,15.1275,545.2,85001.5327,0,390.684,11778.84848,0,23956.9,0,1137,4419.7,64433.1546,5862.403517
1/17/2016,Chile,9.4908,342.4,81548.2322,0,2115.611,6276.186553,0,24749.5,0,1288,4902.4,58654.5226,5750.205039
1/18/2016,Chile,16.315,458.4,85359.1149,0,1548.412,2579.66176,0,29262.50092,0,1278,4351,77656.4,5513.834539
1/19/2016,Chile,15.4005,470,84822.6932,0,6117.369,3557.136588,60.1,33078.9,0,1275,4473,72278.436,5881.107686
1/20/2016,Chile,15.2648,444.4,83929.1517,0,10448.3465,2285.452177,65.2,33441.5,0,1273,5691.5,70206.1003,6049.828372
1/21/2016,Chile,6.2756,486.2,80894.3358,0,12472.44,1869.295934,0,33151.85,0,1260,5760.6,70959.0926,6033.572269
1/22/2016,Chile,4.5587,443.2,80758.7284,0,6307.45,2619.580083,0,36712.97,0,1284,5906.4,71912.4969,6276.747769
1/23/2016,Chile,7.0515,494.9,75652.6702,0,5296.67,2034.553277,0,31281.4,0,1313,6273.3,68993.6905,6276.462139
1/24/2016,Chile,12.7329,483.9,73564.2965,0,3493.611,6897.835981,0,22237,0,1313,6102.8,59839.9814,5776.477489
1/25/2016,Chile,5.814,493.4,75080.558,0,6590.98,6422.730883,0,30817.6,0,1315,5507.5,72324.5256,5588.217702
