Date,Variable,Asia Cop,Asia,East Europe Cop,East Europe,West Europe Cop,West Europe,Russia,North America Cop,North America,World
1985,nuclear_electricity,20115.21789,3836.413415,9662.331736,1081.451061,41819.53,26317.59069,11330.13917,52978.5535,0,167141.2275
1986,nuclear_electricity,22094.45585,3706.365503,9134.154689,1127.081907,46356.37691,27209.67374,12003.19416,57848.50559,0,179479.8083
1987,nuclear_electricity,26000.45631,4421.629021,10959.38855,1047.227926,46910.7917,28288.84326,14225.41638,63482.77436,0,195336.5275
1988,nuclear_electricity,24412.50285,4211.727128,14233.40178,1461.327858,49224.27561,31145.33425,15378.73603,72733.2877,0,212800.5932
1989,nuclear_electricity,26600.50194,3709.787817,13639.06,1899.383984,52959.16039,32135.52361,15553.27401,72614.6475,42.208533,219153.5478
1990,nuclear_electricity,28229.52316,4527.720739,14738.7634,1942.733288,54226.55715,31135.06731,13498.74515,77535.93429,335.386721,226170.4312
1991,nuclear_electricity,30230.43577,4752.452658,14357.74584,1939.310974,57772.07392,30625.1426,13686.97239,83179.32923,483.686972,237027.1504
1992,nuclear_electricity,31208.07666,4706.821812,13981.29135,1670.08898,57703.62765,32093.31508,13647.0454,83431.43965,447.182295,238888.8889
1993,nuclear_electricity,34889.3452,4909.879078,14502.62377,1398.585444,62375.08556,31309.60529,13596.85147,83925.39357,562.400183,247469.7696
1994,nuclear_electricity,36151.0381,6336.983801,14125.02852,879.534565,62677.38992,30894.36459,11159.0235,89120.46543,483.686972,251827.5154
1995,nuclear_electricity,40374.17294,6430.527036,14314.39653,1348.391513,64355.46429,31328.9984,11354.09537,91946.1556,962.81086,262415.0125
1996,nuclear_electricity,42256.44536,6953.000228,15666.21036,1590.234999,67826.83094,32473.19188,12437.82797,91530.9149,898.927675,271633.5843
1997,nuclear_electricity,45431.2115,7016.883413,15983.34474,1371.206936,67519.9635,34025.78143,12377.3671,84838.0105,1193.246635,269757.0158
1998,nuclear_electricity,47417.29409,7166.324435,15511.06548,1545.744924,67506.27424,33361.85261,11832.07849,88997.26215,1057.494867,274395.3913
1999,nuclear_electricity,47946.61191,7502.851928,15247.54734,1124.800365,67768.65161,34523.15765,13902.57814,95774.58362,1140.771161,284931.5537
2000,nuclear_electricity,48423.45426,8143.965321,16568.56035,960.529318,67158.33904,34956.6507,13969.88364,93891.17043,890.942277,284963.4953
2001,nuclear_electricity,48945.92745,8422.313484,16786.44764,1295.916039,70190.50878,35155.14488,14300.70728,96017.56788,945.699293,292060.2327
2002,nuclear_electricity,48996.12138,9791.238877,17608.94365,1613.050422,71236.59594,34502.62377,15302.30436,97172.02829,1056.354095,297279.2608
2003,nuclear_electricity,40507.64317,11656.39973,18062.97057,1765.913758,71770.47684,34429.61442,16104.26648,95240.70272,1138.489619,290676.4773
2004,nuclear_electricity,47028.29112,12907.82569,18783.93794,1722.564454,72750.39927,34787.81656,15682.18115,99749.03034,995.893224,304407.9397
2005,nuclear_electricity,49410.22131,12913.52955,19307.55191,1179.557381,72858.77253,33256.90167,15701.57426,99112.48004,1177.275838,304917.8645
2006,nuclear_electricity,51093.99954,13106.31987,19719.37029,986.767055,71246.86288,34436.45905,16501.25485,100349.076,1186.402008,308626.5115
2007,nuclear_electricity,47679.67146,14009.81063,19515.17226,1121.378052,68794.20488,31003.87862,16882.27242,102054.5289,1135.067305,302195.9845
2008,nuclear_electricity,45433.49304,14395.39128,19953.22838,1128.222679,67217.65914,32024.86881,17346.56628,102043.1211,1067.761807,300610.3125
2009,nuclear_electricity,47691.07917,14953.22838,19010.9514,1237.73671,64399.95437,29956.6507,17428.7018,100841.8891,1153.319644,296673.5113
2010,nuclear_electricity,49798.0835,16200.09126,19889.3452,0,66269.6783,31579.96806,18185.03308,101813.8261,645.676477,304381.702
2011,nuclear_electricity,35711.8412,18878.62195,20270.36277,0,69061.14533,27450.37645,18482.77436,100215.6057,1101.984942,291172.7127
2012,nuclear_electricity,18669.86083,20374.17294,20418.66302,0,67566.73511,25856.71914,18969.88364,97971.70888,959.388547,270787.1321
2013,nuclear_electricity,17023.72804,22257.58613,19488.93452,0,67596.39516,25399.26991,18409.765,101140.7712,1298.197582,272614.6475
2014,nuclear_electricity,17275.83847,24977.18458,20239.56194,0,68349.30413,24606.43395,19287.01802,102484.5996,1060.91718,278280.8579
2015,nuclear_electricity,18737.16632,28974.44673,19674.88022,0,68115.44604,22607.80287,20854.4376,101897.1024,1275.382158,282136.6643
2016,nuclear_electricity,19857.4036,33612.82227,18587.7253,0,65127.76637,23720.05476,20995.89322,102826.8309,1171.571983,285900.0684
2017,nuclear_electricity,19707.96258,36850.33082,19639.51631,0,64632.67169,22469.76956,21688.34132,102728.7246,1205.795117,288923.112
2018,nuclear_electricity,20315.99361,43110.88296,19666.89482,0,66008.44171,21204.65435,20734.65663,102910.1072,1519.507187,295471.1385
2019,nuclear_electricity,23539.81291,50383.29911,19696.55487,0,63303.67328,23198.72234,22306.63929,103226.1008,1241.159023,306895.9616
2020,nuclear_electricity,22788.04472,52272.41615,18918.54894,38.786219,55560.11864,20662.78804,24610.99703,100676.4773,1240.018252,296768.1953
2021,nuclear_electricity,25569.24481,56866.30162,20135.75177,659.365731,58335.61488,22288.38695,25375.31371,98906.00046,1303.901437,309439.8814
2022,nuclear_electricity,27681.22649,58949.34976,17521.10427,535.021675,49260.78029,18531.82752,25485.96851,97401.32329,1181.838923,296548.4407
2023,nuclear_electricity,28314.72166,61608.98933,18286.85439,1323.294547,51479.98555,14285.73486,25820.64091,96560.81914,1272.49299,298953.5334
2024,nuclear_electricity,34076.83954,73639.31302,20728.10364,1323.294547,57159.96178,13020.34827,28843.81671,107770.2531,1755.992612,338317.9232
2025,nuclear_electricity,40011.72617,85923.36363,23175.82823,1323.294547,62852.72845,11639.73943,31866.99252,118993.048,2322.408754,378109.1297
2026,nuclear_electricity,46155.6655,102434.9415,25627.83932,1323.294547,68230.24609,10574.97242,34890.16832,130299.5796,2830.937714,422367.645
2027,nuclear_electricity,52285.03582,118957.4109,28082.53089,1323.294547,71883.7339,9366.704904,37913.34412,141573.7438,3030.800821,464416.5997
2028,nuclear_electricity,58285.43849,135134.9937,30538.88076,1323.294547,75526.94382,8197.849492,40936.51993,152816.4449,3230.663929,505991.0296
2029,nuclear_electricity,64240.73256,151059.1824,32996.25444,1323.294547,79242.18179,6944.892637,43959.69573,164084.8348,3430.527036,547281.5959
2030,nuclear_electricity,70253.07485,167128.1372,35454.25994,1323.294547,82909.5838,5767.972425,46982.87153,175360.8854,3630.390144,588810.4698
2031,nuclear_electricity,74736.53572,183348.2291,37912.65529,1323.294547,86554.31585,4559.545436,47485.65586,183361.3216,3830.253251,623111.8067
2032,nuclear_electricity,79207.37547,213998.456,40232.83916,1323.294547,90256.74423,3375.861634,47988.44019,191361.7578,4030.116359,671774.8854
2033,nuclear_electricity,83676.79018,244403.103,43660.90122,1323.294547,93932.9087,2163.850881,48491.22451,199362.194,4229.979466,721244.2465
2034,nuclear_electricity,88139.14092,274537.7096,45991.89966,1323.294547,97581.47251,969.994815,48994.00884,207362.6303,4429.842574,769329.9938
2035,nuclear_electricity,92619.01247,304712.3527,48322.89812,1323.294547,101273.5835,0,49496.79317,215363.0665,4629.705681,817740.7067
2036,nuclear_electricity,97110.32879,336014.8996,50559.64204,1323.294547,104954.63,0,49999.57749,220608.5404,4829.568789,865400.4817
2037,nuclear_electricity,102999.8536,367478.2066,52796.38596,1323.294547,108607.9842,0,50502.36182,225854.0141,5029.431896,914591.5327
