Date,Variable,Asia Cop,Asia,East Europe Cop,East Europe,West Europe Cop,West Europe,Russia,North America Cop,North America,World
1985,nuclear_electricity,20.11521789,3.836413415,9.662331736,1.081451061,41.81953,26.31759069,11.33013917,52.9785535,0,167.1412275
1986,nuclear_electricity,22.09445585,3.706365503,9.134154689,1.127081907,46.35637691,27.20967374,12.00319416,57.84850559,0,179.4798083
1987,nuclear_electricity,26.00045631,4.421629021,10.95938855,1.047227926,46.9107917,28.28884326,14.22541638,63.48277436,0,195.3365275
1988,nuclear_electricity,24.41250285,4.211727128,14.23340178,1.461327858,49.22427561,31.14533425,15.37873603,72.7332877,0,212.8005932
1989,nuclear_electricity,26.60050194,3.698380105,13.63906,1.899383984,52.95916039,32.13552361,15.55327401,72.6146475,0.042208533,219.1421401
1990,nuclear_electricity,28.22952316,4.527720739,14.7387634,1.942733288,54.22655715,31.13506731,13.49874515,77.53593429,0.335386721,226.1704312
1991,nuclear_electricity,30.23043577,4.690851015,14.35774584,1.939310974,57.77207392,30.6251426,13.68697239,83.17932923,0.483686972,236.9655487
1992,nuclear_electricity,31.20807666,4.654346338,13.98129135,1.67008898,57.70362765,32.09331508,13.6470454,83.43143965,0.447182295,238.8364134
1993,nuclear_electricity,34.8893452,4.858544376,14.50262377,1.398585444,62.37508556,31.30960529,13.59685147,83.92539357,0.562400183,247.4184349
1994,nuclear_electricity,36.1510381,6.293634497,14.12502852,0.879534565,62.67738992,30.89436459,11.1590235,89.12046543,0.483686972,251.7841661
1995,nuclear_electricity,40.37417294,6.421400867,14.31439653,1.348391513,64.35546429,31.3289984,11.35409537,91.9461556,0.96281086,262.4058864
1996,nuclear_electricity,42.25644536,6.942733288,15.66621036,1.590234999,67.82683094,32.47319188,12.43782797,91.5309149,0.898927675,271.6233174
1997,nuclear_electricity,45.4312115,6.982660278,15.98334474,1.371206936,67.5199635,34.02578143,12.3773671,84.8380105,1.193246635,269.7227926
1998,nuclear_electricity,47.41729409,7.156057495,15.51106548,1.545744924,67.50627424,33.36185261,11.83207849,88.99726215,1.057494867,274.3851243
1999,nuclear_electricity,47.94661191,7.502851928,15.24754734,1.124800365,67.76865161,34.52315765,13.90257814,95.77458362,1.140771161,284.9315537
2000,nuclear_electricity,48.42345426,8.143965321,16.56856035,0.960529318,67.15833904,34.9566507,13.96988364,93.89117043,0.890942277,284.9634953
2001,nuclear_electricity,48.94592745,8.422313484,16.78644764,1.295916039,70.19050878,35.15514488,14.30070728,96.01756788,0.945699293,292.0602327
2002,nuclear_electricity,48.99612138,9.791238877,17.60894365,1.613050422,71.23659594,34.50262377,15.30230436,97.17202829,1.056354095,297.2792608
2003,nuclear_electricity,40.50764317,11.65639973,18.06297057,1.765913758,71.77047684,34.42961442,16.10426648,95.24070272,1.138489619,290.6764773
2004,nuclear_electricity,47.02829112,12.90782569,18.78393794,1.722564454,72.75039927,34.78781656,15.68218115,99.74903034,0.995893224,304.4079397
2005,nuclear_electricity,49.41022131,12.91352955,19.30755191,1.179557381,72.85877253,33.25690167,15.70157426,99.11248004,1.177275838,304.9178645
2006,nuclear_electricity,51.09399954,13.10631987,19.71937029,0.986767055,71.24686288,34.43645905,16.50125485,100.349076,1.186402008,308.6265115
2007,nuclear_electricity,47.67967146,14.00981063,19.51517226,1.121378052,68.79420488,31.00387862,16.88227242,102.0545289,1.135067305,302.1959845
2008,nuclear_electricity,45.43349304,14.39539128,19.95322838,1.128222679,67.21765914,32.02486881,17.34656628,102.0431211,1.067761807,300.6103125
2009,nuclear_electricity,47.69107917,14.95322838,19.0109514,1.23773671,64.39995437,29.9566507,17.4287018,100.8418891,1.153319644,296.6735113
2010,nuclear_electricity,49.7980835,16.20009126,19.8893452,0,66.2696783,31.57996806,18.18503308,101.8138261,0.645676477,304.381702
2011,nuclear_electricity,35.7118412,18.87862195,20.27036277,0,69.06114533,27.45037645,18.48277436,100.2156057,1.101984942,291.1727127
2012,nuclear_electricity,18.66986083,20.37417294,20.41866302,0,67.56673511,25.85671914,18.96988364,97.97170888,0.959388547,270.7871321
2013,nuclear_electricity,17.02372804,22.25758613,19.48893452,0,67.59639516,25.39926991,18.409765,101.1407712,1.298197582,272.6146475
2014,nuclear_electricity,17.27583847,24.97718458,20.23956194,0,68.34930413,24.60643395,19.28701802,102.4845996,1.06091718,278.2808579
2015,nuclear_electricity,18.73716632,28.97444673,19.67488022,0,68.11544604,22.60780287,20.8544376,101.8971024,1.275382158,282.1366643
2016,nuclear_electricity,19.8574036,33.61282227,18.5877253,0,65.12776637,23.72005476,20.99589322,102.8268309,1.171571983,285.9000684
2017,nuclear_electricity,19.70796258,36.85033082,19.63951631,0,64.63267169,22.46976956,21.68834132,102.7287246,1.205795117,288.923112
2018,nuclear_electricity,20.31599361,43.11088296,19.66689482,0,66.00844171,21.20465435,20.73465663,102.9101072,1.519507187,295.4711385
2019,nuclear_electricity,23.53981291,50.38329911,19.69655487,0,63.30367328,23.19872234,22.30663929,103.2261008,1.241159023,306.8959616
2020,nuclear_electricity,22.78804472,52.27241615,18.91854894,0.038786219,55.56011864,20.66278804,24.61099703,100.6764773,1.240018252,296.7681953
2021,nuclear_electricity,25.56924481,56.86630162,20.13575177,0.659365731,58.33561488,22.28838695,25.37531371,98.90600046,1.303901437,309.4398814
2022,nuclear_electricity,27.68122649,58.94934976,17.52110427,0.535021675,49.26078029,18.53182752,25.48596851,97.40132329,1.181838923,296.5484407
2023,nuclear_electricity,28.27675026,61.60694584,18.28685439,1.323294547,49.78239632,14.28573486,25.82064091,96.56081914,1.27249299,297.2159293
2024,nuclear_electricity,33.17225423,64.42000291,19.58051458,1.323294547,54.20904268,13.02034827,27.69512339,103.8126924,1.364791206,318.5980642
2025,nuclear_electricity,38.32754821,67.23305997,20.8806501,1.323294547,58.63568903,11.63973943,29.56960587,111.0645656,1.457089423,340.1312422
2026,nuclear_electricity,43.80682879,71.29249414,22.18507212,1.323294547,63.0623354,10.57497242,31.44408834,118.3164389,1.549387639,363.5549123
2027,nuclear_electricity,49.24642661,75.35192829,23.49217462,1.323294547,67.48898175,9.366704904,33.31857082,125.568312,1.641685855,386.7980794
2028,nuclear_electricity,54.44000143,79.41136246,24.80093542,1.323294547,71.91562812,8.197849492,35.1930533,132.8201853,1.733984072,409.8362941
2029,nuclear_electricity,59.55258993,83.47079661,26.11072003,1.323294547,76.34227448,6.944892637,37.06753578,140.0720585,1.826282288,432.7104448
2030,nuclear_electricity,64.80278225,87.53023078,27.42113646,1.323294547,80.76892083,5.767972425,38.94201825,147.3239317,1.918580505,455.7988677
2031,nuclear_electricity,70.17102574,91.58966493,28.73194274,1.323294547,85.1955672,4.559545436,40.81650073,154.5758049,2.010878721,478.9742249
2032,nuclear_electricity,75.5125114,95.6490991,30.04298961,1.323294547,89.62221355,3.375861634,42.69098321,161.8276782,2.103176937,502.1478082
2033,nuclear_electricity,81.28385678,99.70853325,31.35418491,1.323294547,94.04885991,2.163850881,44.56546569,169.0795514,2.195475154,525.7230725
2034,nuclear_electricity,87.04110398,103.7679674,32.88590907,1.323294547,98.47550629,0.969994815,46.43994817,176.3314247,2.28777337,549.5229223
2035,nuclear_electricity,92.86477232,107.8274016,34.41768976,1.323294547,102.9021526,0,48.31443064,183.5832979,2.380071586,573.613111
2036,nuclear_electricity,98.72780035,111.8868357,35.9495053,1.323294547,107.328799,0,50.18891312,190.8351711,2.472369803,598.7126889
2037,nuclear_electricity,104.561427,115.9462699,37.48134238,1.323294547,111.7554454,0,52.0633956,198.0870444,2.564668019,623.7828872
