Date,Variable,Armenia,Japan,South Korea,United Arab Emirates,Asia Cop,Anicca
1985,nuclear_electricity,,159.58,16.75,0,176.33,20.11521789
1986,nuclear_electricity,,165.37,28.31,0,193.68,22.09445585
1987,nuclear_electricity,,188.61,39.31,0,227.92,26.00045631
1988,nuclear_electricity,,173.9,40.1,0,214,24.41250285
1989,nuclear_electricity,,185.81,47.37,0,233.18,26.60050194
1990,nuclear_electricity,,194.57,52.89,0,247.46,28.22952316
1991,nuclear_electricity,,208.69,56.31,0,265,30.23043577
1992,nuclear_electricity,,217.04,56.53,0,273.57,31.20807666
1993,nuclear_electricity,,247.7,58.14,0,305.84,34.8893452
1994,nuclear_electricity,,258.25,58.65,0,316.9,36.1510381
1995,nuclear_electricity,,286.89,67.03,0,353.92,40.37417294
1996,nuclear_electricity,,296.5,73.92,0,370.42,42.25644536
1997,nuclear_electricity,,321.16,77.09,0,398.25,45.4312115
1998,nuclear_electricity,,325.97,89.69,0,415.66,47.41729409
1999,nuclear_electricity,,317.24,103.06,0,420.3,47.94661191
2000,nuclear_electricity,1.84,319.12,103.52,0,424.48,48.42345426
2001,nuclear_electricity,1.99,320.54,106.53,0,429.06,48.94592745
2002,nuclear_electricity,2.09,314.26,113.15,0,429.5,48.99612138
2003,nuclear_electricity,1.82,230.08,123.19,0,355.09,40.50764317
2004,nuclear_electricity,2.2,285.87,124.18,0,412.25,47.02829112
2005,nuclear_electricity,2.5,293.04,137.59,0,433.13,49.41022131
2006,nuclear_electricity,2.42,304.29,141.18,0,447.89,51.09399954
2007,nuclear_electricity,2.35,279.01,136.6,0,417.96,47.67967146
2008,nuclear_electricity,2.27,251.74,144.26,0,398.27,45.43349304
2009,nuclear_electricity,2.29,274.65,141.12,0,418.06,47.69107917
2010,nuclear_electricity,2.29,292.35,141.89,0,436.53,49.7980835
2011,nuclear_electricity,2.36,162.93,147.76,0,313.05,35.7118412
2012,nuclear_electricity,2.12,17.99,143.55,0,163.66,18.66986083
2013,nuclear_electricity,2.17,14.6,132.46,0,149.23,17.02372804
2014,nuclear_electricity,2.27,0,149.17,0,151.44,17.27583847
2015,nuclear_electricity,2.57,4.52,157.16,0,164.25,18.73716632
2016,nuclear_electricity,2.19,17.68,154.2,0,174.07,19.8574036
2017,nuclear_electricity,2.41,29.07,141.28,0,172.76,19.70796258
2018,nuclear_electricity,1.9,49.11,127.08,0,178.09,20.31599361
2019,nuclear_electricity,2.03,65.64,138.68,0,206.35,23.53981291
2020,nuclear_electricity,2.55,43,152.58,1.63,199.76,22.78804472
2021,nuclear_electricity,1.85,61.22,150.52,10.55,224.14,25.56924481
2022,nuclear_electricity,2.203631397,51.77,168.58,20.1,242.6536314,27.68122649
2023,nuclear_electricity,2.596358847,43.30480779,177.1840582,24.78876797,247.8739928,28.27675026
2024,nuclear_electricity,2.989086297,72.5423149,189.3527968,25.90378259,290.7879806,33.17225423
