Date,Variable,China,India,Iran,Kazakhstan,Pakistan,Taiwan,Asia Regular,Anicca
1985,nuclear_electricity,0,4.51,0,0,0.39,28.73,33.63,3.836413415
1986,nuclear_electricity,0,5.02,0,0,0.53,26.94,32.49,3.706365503
1987,nuclear_electricity,0,5.32,0,0,0.31,33.13,38.76,4.421629021
1988,nuclear_electricity,0,6.08,0,0,0.19,30.65,36.92,4.211727128
1989,nuclear_electricity,0,4.02,0,0.1,0.12,28.28,32.52,3.709787817
1990,nuclear_electricity,0,6.4,0,0,0.42,32.87,39.69,4.527720739
1991,nuclear_electricity,0,5.41,0,0.54,0.42,35.29,41.66,4.752452658
1992,nuclear_electricity,0,6.4,0,0.46,0.55,33.85,41.26,4.706821812
1993,nuclear_electricity,1.6,6.23,0,0.45,0.41,34.35,43.04,4.909879078
1994,nuclear_electricity,14.76,4.95,0,0.38,0.59,34.87,55.55,6.336983801
1995,nuclear_electricity,12.83,7.62,0,0.08,0.52,35.32,56.37,6.430527036
1996,nuclear_electricity,14.34,8.4,0,0.09,0.33,37.79,60.95,6.953000228
1997,nuclear_electricity,14.42,10.07,0,0.3,0.45,36.27,61.51,7.016883413
1998,nuclear_electricity,14.1,11.37,0,0.09,0.39,36.87,62.82,7.166324435
1999,nuclear_electricity,14.95,12.73,0,0,0.08,38.01,65.77,7.502851928
2000,nuclear_electricity,16.74,15.77,0,0,0.38,38.5,71.39,8.143965321
2001,nuclear_electricity,17.47,18.89,0,0,1.98,35.49,73.83,8.422313484
2002,nuclear_electricity,25.13,19.35,0,0,1.8,39.55,85.83,9.791238877
2003,nuclear_electricity,43.34,18.14,0,0,1.81,38.89,102.18,11.65639973
2004,nuclear_electricity,50.47,21.26,0,0,1.93,39.49,113.15,12.90782569
2005,nuclear_electricity,53.09,17.73,0,0,2.41,39.97,113.2,12.91352955
2006,nuclear_electricity,54.84,17.63,0,0,2.55,39.87,114.89,13.10631987
2007,nuclear_electricity,62.13,17.83,0,0,2.31,40.54,122.81,14.00981063
2008,nuclear_electricity,68.39,15.23,0,0,1.74,40.83,126.19,14.39539128
2009,nuclear_electricity,70.05,16.82,0,0,2.64,41.57,131.08,14.95322838
