Date,Variable,China,India,Iran,Pakistan,Taiwan,Asia Regular,Anicca
1985,nuclear_electricity,0,4.51,0,0.39,28.73,33.63,3.836413415
1986,nuclear_electricity,0,5.02,0,0.53,26.94,32.49,3.706365503
1987,nuclear_electricity,0,5.32,0,0.31,33.13,38.76,4.421629021
1988,nuclear_electricity,0,6.08,0,0.19,30.65,36.92,4.211727128
1989,nuclear_electricity,0,4.02,0,0.12,28.28,32.42,3.698380105
1990,nuclear_electricity,0,6.4,0,0.42,32.87,39.69,4.527720739
1991,nuclear_electricity,0,5.41,0,0.42,35.29,41.12,4.690851015
1992,nuclear_electricity,0,6.4,0,0.55,33.85,40.8,4.654346338
1993,nuclear_electricity,1.6,6.23,0,0.41,34.35,42.59,4.858544376
1994,nuclear_electricity,14.76,4.95,0,0.59,34.87,55.17,6.293634497
1995,nuclear_electricity,12.83,7.62,0,0.52,35.32,56.29,6.421400867
1996,nuclear_electricity,14.34,8.4,0,0.33,37.79,60.86,6.942733288
1997,nuclear_electricity,14.42,10.07,0,0.45,36.27,61.21,6.982660278
1998,nuclear_electricity,14.1,11.37,0,0.39,36.87,62.73,7.156057495
1999,nuclear_electricity,14.95,12.73,0,0.08,38.01,65.77,7.502851928
2000,nuclear_electricity,16.74,15.77,0,0.38,38.5,71.39,8.143965321
2001,nuclear_electricity,17.47,18.89,0,1.98,35.49,73.83,8.422313484
2002,nuclear_electricity,25.13,19.35,0,1.8,39.55,85.83,9.791238877
2003,nuclear_electricity,43.34,18.14,0,1.81,38.89,102.18,11.65639973
2004,nuclear_electricity,50.47,21.26,0,1.93,39.49,113.15,12.90782569
2005,nuclear_electricity,53.09,17.73,0,2.41,39.97,113.2,12.91352955
2006,nuclear_electricity,54.84,17.63,0,2.55,39.87,114.89,13.10631987
2007,nuclear_electricity,62.13,17.83,0,2.31,40.54,122.81,14.00981063
2008,nuclear_electricity,68.39,15.23,0,1.74,40.83,126.19,14.39539128
2009,nuclear_electricity,70.05,16.82,0,2.64,41.57,131.08,14.95322838
2010,nuclear_electricity,74.74,23.08,0,2.56,41.63,142.01,16.20009126
2011,nuclear_electricity,87.2,32.22,0.11,3.84,42.12,165.49,18.87862195
2012,nuclear_electricity,98.32,33.14,1.45,5.27,40.42,178.6,20.37417294
2013,nuclear_electricity,111.5,33.31,4.26,4.4,41.64,195.11,22.25758613
2014,nuclear_electricity,133.22,34.69,4.07,4.58,42.39,218.95,24.97718458
2015,nuclear_electricity,171.38,38.31,3.5,4.33,36.47,253.99,28.97444673
2016,nuclear_electricity,213.18,37.9,6.47,5.44,31.66,294.65,33.61282227
2017,nuclear_electricity,248.1,37.41,6.96,8.11,22.45,323.03,36.85033082
