Date,Variable,Belarus,Lithuania,East Europe Regular,Anicca
1985,nuclear_electricity,0,9.48,9.48,1.081451061
1986,nuclear_electricity,0,9.88,9.88,1.127081907
1987,nuclear_electricity,0,9.18,9.18,1.047227926
1988,nuclear_electricity,0,12.81,12.81,1.461327858
1989,nuclear_electricity,0,16.65,16.65,1.899383984
1990,nuclear_electricity,0,17.03,17.03,1.942733288
1991,nuclear_electricity,0,17,17,1.939310974
1992,nuclear_electricity,0,14.64,14.64,1.67008898
1993,nuclear_electricity,0,12.26,12.26,1.398585444
1994,nuclear_electricity,0,7.71,7.71,0.879534565
1995,nuclear_electricity,0,11.82,11.82,1.348391513
1996,nuclear_electricity,0,13.94,13.94,1.590234999
1997,nuclear_electricity,0,12.02,12.02,1.371206936
1998,nuclear_electricity,0,13.55,13.55,1.545744924
1999,nuclear_electricity,0,9.86,9.86,1.124800365
2000,nuclear_electricity,0,8.42,8.42,0.960529318
2001,nuclear_electricity,0,11.36,11.36,1.295916039
2002,nuclear_electricity,0,14.14,14.14,1.613050422
2003,nuclear_electricity,0,15.48,15.48,1.765913758
2004,nuclear_electricity,0,15.1,15.1,1.722564454
2005,nuclear_electricity,0,10.34,10.34,1.179557381
2006,nuclear_electricity,0,8.65,8.65,0.986767055
2007,nuclear_electricity,0,9.83,9.83,1.121378052
2008,nuclear_electricity,0,9.89,9.89,1.128222679
2009,nuclear_electricity,0,10.85,10.85,1.23773671
2010,nuclear_electricity,0,0,0,0
2011,nuclear_electricity,0,0,0,0
2012,nuclear_electricity,0,0,0,0
2013,nuclear_electricity,0,0,0,0
2014,nuclear_electricity,0,0,0,0
2015,nuclear_electricity,0,0,0,0
2016,nuclear_electricity,0,0,0,0
2017,nuclear_electricity,0,0,0,0
2018,nuclear_electricity,0,0,0,0
2019,nuclear_electricity,0,0,0,0
2020,nuclear_electricity,0.34,0,0.34,0.038786219
2021,nuclear_electricity,5.78,0,5.78,0.659365731
2022,nuclear_electricity,4.69,0,4.69,0.535021675
2023,nuclear_electricity,11.6,0,11.6,1.323294547
2024,nuclear_electricity,11.6,0,11.6,1.323294547
2025,nuclear_electricity,11.6,0,11.6,1.323294547
2026,nuclear_electricity,11.6,0,11.6,1.323294547
2027,nuclear_electricity,11.6,0,11.6,1.323294547
2028,nuclear_electricity,11.6,0,11.6,1.323294547
2029,nuclear_electricity,11.6,0,11.6,1.323294547
2030,nuclear_electricity,11.6,0,11.6,1.323294547
2031,nuclear_electricity,11.6,0,11.6,1.323294547
2032,nuclear_electricity,11.6,0,11.6,1.323294547
2033,nuclear_electricity,11.6,0,11.6,1.323294547
2034,nuclear_electricity,11.6,0,11.6,1.323294547
2035,nuclear_electricity,11.6,0,11.6,1.323294547
2036,nuclear_electricity,11.6,0,11.6,1.323294547
2037,nuclear_electricity,11.6,0,11.6,1.323294547
2038,nuclear_electricity,11.6,0,11.6,1.323294547
2039,nuclear_electricity,11.6,0,11.6,1.323294547
2040,nuclear_electricity,11.6,0,11.6,1.323294547
2041,nuclear_electricity,11.6,0,11.6,1.323294547
2042,nuclear_electricity,11.6,0,11.6,1.323294547
2043,nuclear_electricity,11.6,0,11.6,1.323294547
2044,nuclear_electricity,11.6,0,11.6,1.323294547
2045,nuclear_electricity,11.6,0,11.6,1.323294547
2046,nuclear_electricity,11.6,0,11.6,1.323294547
2047,nuclear_electricity,11.6,0,11.6,1.323294547
2048,nuclear_electricity,11.6,0,11.6,1.323294547
2049,nuclear_electricity,11.6,0,11.6,1.323294547
2050,nuclear_electricity,11.6,0,11.6,1.323294547
2051,nuclear_electricity,11.6,0,11.6,1.323294547
2052,nuclear_electricity,11.6,0,11.6,1.323294547
2053,nuclear_electricity,11.6,0,11.6,1.323294547
2054,nuclear_electricity,11.6,0,11.6,1.323294547
2055,nuclear_electricity,11.6,0,11.6,1.323294547
2056,nuclear_electricity,11.6,0,11.6,1.323294547
2057,nuclear_electricity,11.6,0,11.6,1.323294547
2058,nuclear_electricity,11.6,0,11.6,1.323294547
2059,nuclear_electricity,11.6,0,11.6,1.323294547
2060,nuclear_electricity,11.6,0,11.6,1.323294547
2061,nuclear_electricity,11.6,0,11.6,1.323294547
2062,nuclear_electricity,11.6,0,11.6,1.323294547
2063,nuclear_electricity,11.6,0,11.6,1.323294547
2064,nuclear_electricity,11.6,0,11.6,1.323294547
2065,nuclear_electricity,11.6,0,11.6,1.323294547
2066,nuclear_electricity,11.6,0,11.6,1.323294547
2067,nuclear_electricity,11.6,0,11.6,1.323294547
2068,nuclear_electricity,11.6,0,11.6,1.323294547
2069,nuclear_electricity,11.6,0,11.6,1.323294547
2070,nuclear_electricity,11.6,0,11.6,1.323294547
2071,nuclear_electricity,11.6,0,11.6,1.323294547
2072,nuclear_electricity,11.6,0,11.6,1.323294547
2073,nuclear_electricity,11.6,0,11.6,1.323294547
2074,nuclear_electricity,11.6,0,11.6,1.323294547
2075,nuclear_electricity,11.6,0,11.6,1.323294547
2076,nuclear_electricity,11.6,0,11.6,1.323294547
2077,nuclear_electricity,11.6,0,11.6,1.323294547
2078,nuclear_electricity,11.6,0,11.6,1.323294547
2079,nuclear_electricity,11.6,0,11.6,1.323294547
2080,nuclear_electricity,11.6,0,11.6,1.323294547
2081,nuclear_electricity,11.6,0,11.6,1.323294547
2082,nuclear_electricity,11.6,0,11.6,1.323294547
2083,nuclear_electricity,11.6,0,11.6,1.323294547
2084,nuclear_electricity,11.6,0,11.6,1.323294547
2085,nuclear_electricity,11.6,0,11.6,1.323294547
2086,nuclear_electricity,11.6,0,11.6,1.323294547
2087,nuclear_electricity,11.6,0,11.6,1.323294547
2088,nuclear_electricity,11.6,0,11.6,1.323294547
2089,nuclear_electricity,11.6,0,11.6,1.323294547
2090,nuclear_electricity,11.6,0,11.6,1.323294547
2091,nuclear_electricity,11.6,0,11.6,1.323294547
2092,nuclear_electricity,11.6,0,11.6,1.323294547
2093,nuclear_electricity,11.6,0,11.6,1.323294547
2094,nuclear_electricity,11.6,0,11.6,1.323294547
2095,nuclear_electricity,11.6,0,11.6,1.323294547
2096,nuclear_electricity,11.6,0,11.6,1.323294547
2097,nuclear_electricity,11.6,0,11.6,1.323294547
2098,nuclear_electricity,11.6,0,11.6,1.323294547
2099,nuclear_electricity,11.6,0,11.6,1.323294547
2100,nuclear_electricity,11.6,0,11.6,1.323294547
