Date,Variable,Canada,United States,North America Cop,Anicca
1985,nuclear_electricity,60.52,403.89,464.41,52.9785535
1986,nuclear_electricity,71.27,435.83,507.1,57.84850559
1987,nuclear_electricity,77.26,479.23,556.49,63.48277436
1988,nuclear_electricity,82.87,554.71,637.58,72.7332877
1989,nuclear_electricity,79.32,557.22,636.54,72.6146475
1990,nuclear_electricity,72.46,607.22,679.68,77.53593429
1991,nuclear_electricity,84.34,644.81,729.15,83.17932923
1992,nuclear_electricity,80.02,651.34,731.36,83.43143965
1993,nuclear_electricity,93.28,642.41,735.69,83.92539357
1994,nuclear_electricity,107.08,674.15,781.23,89.12046543
1995,nuclear_electricity,97.16,708.84,806,91.9461556
1996,nuclear_electricity,92.12,710.24,802.36,91.5309149
1997,nuclear_electricity,81.96,661.73,743.69,84.8380105
1998,nuclear_electricity,70.99,709.16,780.15,88.99726215
1999,nuclear_electricity,72.98,766.58,839.56,95.77458362
2000,nuclear_electricity,69.16,753.89,823.05,93.89117043
2001,nuclear_electricity,72.86,768.83,841.69,96.01756788
2002,nuclear_electricity,71.75,780.06,851.81,97.17202829
2003,nuclear_electricity,71.15,763.73,834.88,95.24070272
2004,nuclear_electricity,85.87,788.53,874.4,99.74903034
2005,nuclear_electricity,86.83,781.99,868.82,99.11248004
2006,nuclear_electricity,92.44,787.22,879.66,100.349076
2007,nuclear_electricity,88.19,806.42,894.61,102.0545289
2008,nuclear_electricity,88.3,806.21,894.51,102.0431211
2009,nuclear_electricity,85.13,798.85,883.98,100.8418891
2010,nuclear_electricity,85.53,806.97,892.5,101.8138261
2011,nuclear_electricity,88.29,790.2,878.49,100.2156057
2012,nuclear_electricity,89.49,769.33,858.82,97.97170888
2013,nuclear_electricity,97.58,789.02,886.6,101.1407712
2014,nuclear_electricity,101.21,797.17,898.38,102.4845996
2015,nuclear_electricity,96.05,797.18,893.23,101.8971024
2016,nuclear_electricity,95.69,805.69,901.38,102.8268309
2017,nuclear_electricity,95.57,804.95,900.52,102.7287246
2018,nuclear_electricity,95.03,807.08,902.11,102.9101072
2019,nuclear_electricity,95.47,809.41,904.88,103.2261008
2020,nuclear_electricity,92.65,789.88,882.53,100.6764773
2021,nuclear_electricity,87.36,779.65,867.01,98.90600046
2022,nuclear_electricity,82.28,771.54,853.82,97.40132329
2023,nuclear_electricity,82.29075366,764.1613869,846.4521406,96.56081914
2024,nuclear_electricity,88.93183686,855.7822016,944.7140385,107.7702531
2025,nuclear_electricity,95.57292006,947.520139,1043.093059,118.993048
2026,nuclear_electricity,102.2140033,1039.992112,1142.206115,130.2995796
2027,nuclear_electricity,108.8550865,1132.180351,1241.035438,141.5737438
2028,nuclear_electricity,115.4961697,1224.092786,1339.588956,152.8164449
2029,nuclear_electricity,122.1372528,1316.230409,1438.367662,164.0848348
2030,nuclear_electricity,128.778336,1408.435185,1537.213521,175.3608854
2031,nuclear_electricity,135.4194192,1471.925926,1607.345345,183.3613216
2032,nuclear_electricity,142.0605024,1535.416667,1677.477169,191.3617578
2033,nuclear_electricity,148.7015856,1598.907407,1747.608993,199.362194
2034,nuclear_electricity,155.3426688,1662.398148,1817.740817,207.3626303
2035,nuclear_electricity,161.983752,1725.888889,1887.872641,215.3630665
2036,nuclear_electricity,168.6248352,1765.22963,1933.854465,220.6085404
2037,nuclear_electricity,175.2659184,1804.57037,1979.836288,225.8540141
2038,nuclear_electricity,181.9070016,1843.911111,2025.818113,231.0994881
2039,nuclear_electricity,188.5480848,1883.251852,2071.799937,236.344962
2040,nuclear_electricity,195.189168,1922.592593,2117.781761,241.5904359
2041,nuclear_electricity,201.8302512,1961.933333,2163.763584,246.8359097
2042,nuclear_electricity,208.4713344,2001.274074,2209.745408,252.0813835
2043,nuclear_electricity,215.1124176,2040.614815,2255.727233,257.3268575
2044,nuclear_electricity,221.7535008,2079.955556,2301.709057,262.5723314
2045,nuclear_electricity,228.394584,2119.296296,2347.69088,267.8178052
2046,nuclear_electricity,235.0356672,2158.637037,2393.672704,273.063279
2047,nuclear_electricity,241.6767504,2197.977778,2439.654528,278.3087529
2048,nuclear_electricity,248.3178336,2237.318519,2485.636353,283.5542269
2049,nuclear_electricity,254.9589168,2276.659259,2531.618176,288.7997007
2050,nuclear_electricity,261.6,2316,2577.6,294.0451745
2051,nuclear_electricity,268.2410832,2355.340741,2623.581824,299.2906484
2052,nuclear_electricity,274.8821664,2394.681481,2669.563647,304.5361222
2053,nuclear_electricity,281.5232496,2434.022222,2715.545472,309.7815962
2054,nuclear_electricity,288.1643328,2473.362963,2761.527296,315.02707
2055,nuclear_electricity,294.805416,2512.703704,2807.50912,320.2725439
2056,nuclear_electricity,301.4464992,2552.044444,2853.490943,325.5180177
2057,nuclear_electricity,308.0875824,2591.385185,2899.472767,330.7634916
2058,nuclear_electricity,314.7286656,2630.725926,2945.454592,336.0089655
2059,nuclear_electricity,321.3697488,2670.066667,2991.436416,341.2544394
2060,nuclear_electricity,328.010832,2709.407407,3037.418239,346.4999132
2061,nuclear_electricity,334.6519152,2748.748148,3083.400063,351.7453871
2062,nuclear_electricity,341.2929984,2788.088889,3129.381887,356.9908609
2063,nuclear_electricity,347.9340816,2827.42963,3175.363712,362.2363349
2064,nuclear_electricity,354.5751648,2866.77037,3221.345535,367.4818087
2065,nuclear_electricity,361.216248,2906.111111,3267.327359,372.7272826
2066,nuclear_electricity,367.8573312,2945.451852,3313.309183,377.9727564
2067,nuclear_electricity,374.4984144,2984.792593,3359.291007,383.2182303
2068,nuclear_electricity,381.1394976,3024.133333,3405.272831,388.4637042
2069,nuclear_electricity,387.7805808,3063.474074,3451.254655,393.7091781
2070,nuclear_electricity,394.421664,3102.814815,3497.236479,398.954652
2071,nuclear_electricity,401.0627472,3142.155556,3543.218303,404.2001258
2072,nuclear_electricity,407.7038303,3181.496296,3589.200126,409.4455996
2073,nuclear_electricity,414.3449135,3220.837037,3635.181951,414.6910736
2074,nuclear_electricity,420.9859967,3260.177778,3681.163775,419.9365475
2075,nuclear_electricity,427.6270799,3299.518519,3727.145599,425.1820213
2076,nuclear_electricity,434.2681631,3338.859259,3773.127422,430.4274951
2077,nuclear_electricity,440.9092463,3378.2,3819.109246,435.672969
2078,nuclear_electricity,447.5503295,3417.540741,3865.091071,440.918443
2079,nuclear_electricity,454.1914127,3456.881481,3911.072894,446.1639167
2080,nuclear_electricity,460.8324959,3496.222222,3957.054718,451.4093906
2081,nuclear_electricity,467.4735791,3535.562963,4003.036542,456.6548645
2082,nuclear_electricity,474.1146623,3574.903704,4049.018366,461.9003384
2083,nuclear_electricity,480.7557455,3614.244444,4095.00019,467.1458122
2084,nuclear_electricity,487.3968287,3653.585185,4140.982014,472.3912861
2085,nuclear_electricity,494.0379119,3692.925926,4186.963838,477.63676
2086,nuclear_electricity,500.6789951,3732.266667,4232.945662,482.8822339
2087,nuclear_electricity,507.3200783,3771.607407,4278.927485,488.1277076
2088,nuclear_electricity,513.9611615,3810.948148,4324.90931,493.3731816
2089,nuclear_electricity,520.6022447,3850.288889,4370.891134,498.6186555
2090,nuclear_electricity,527.2433279,3889.62963,4416.872958,503.8641294
2091,nuclear_electricity,533.8844111,3928.97037,4462.854781,509.1096031
2092,nuclear_electricity,540.5254943,3968.311111,4508.836605,514.355077
2093,nuclear_electricity,547.1665775,4007.651852,4554.81843,519.600551
2094,nuclear_electricity,553.8076607,4046.992593,4600.800254,524.8460249
2095,nuclear_electricity,560.4487439,4086.333333,4646.782077,530.0914986
2096,nuclear_electricity,567.0898271,4125.674074,4692.763901,535.3369725
