Date,Variable,Mexico,North America Regular,Anicca
1985,nuclear_electricity,0,0,0
1986,nuclear_electricity,0,0,0
1987,nuclear_electricity,0,0,0
1988,nuclear_electricity,0,0,0
1989,nuclear_electricity,0.37,0.37,0.042208533
1990,nuclear_electricity,2.94,2.94,0.335386721
1991,nuclear_electricity,4.24,4.24,0.483686972
1992,nuclear_electricity,3.92,3.92,0.447182295
1993,nuclear_electricity,4.93,4.93,0.562400183
1994,nuclear_electricity,4.24,4.24,0.483686972
1995,nuclear_electricity,8.44,8.44,0.96281086
1996,nuclear_electricity,7.88,7.88,0.898927675
1997,nuclear_electricity,10.46,10.46,1.193246635
1998,nuclear_electricity,9.27,9.27,1.057494867
1999,nuclear_electricity,10,10,1.140771161
2000,nuclear_electricity,7.81,7.81,0.890942277
2001,nuclear_electricity,8.29,8.29,0.945699293
2002,nuclear_electricity,9.26,9.26,1.056354095
2003,nuclear_electricity,9.98,9.98,1.138489619
2004,nuclear_electricity,8.73,8.73,0.995893224
2005,nuclear_electricity,10.32,10.32,1.177275838
2006,nuclear_electricity,10.4,10.4,1.186402008
2007,nuclear_electricity,9.95,9.95,1.135067305
2008,nuclear_electricity,9.36,9.36,1.067761807
2009,nuclear_electricity,10.11,10.11,1.153319644
2010,nuclear_electricity,5.66,5.66,0.645676477
2011,nuclear_electricity,9.66,9.66,1.101984942
2012,nuclear_electricity,8.41,8.41,0.959388547
2013,nuclear_electricity,11.38,11.38,1.298197582
2014,nuclear_electricity,9.3,9.3,1.06091718
2015,nuclear_electricity,11.18,11.18,1.275382158
2016,nuclear_electricity,10.27,10.27,1.171571983
2017,nuclear_electricity,10.57,10.57,1.205795117
2018,nuclear_electricity,13.32,13.32,1.519507187
2019,nuclear_electricity,10.88,10.88,1.241159023
2020,nuclear_electricity,10.87,10.87,1.240018252
2021,nuclear_electricity,11.43,11.43,1.303901437
2022,nuclear_electricity,10.36,10.36,1.181838923
2023,nuclear_electricity,11.15467355,11.15467355,1.27249299
2024,nuclear_electricity,15.39303124,15.39303124,1.755992612
2025,nuclear_electricity,20.35823514,20.35823514,2.322408754
2026,nuclear_electricity,24.816,24.816,2.830937714
2027,nuclear_electricity,26.568,26.568,3.030800821
2028,nuclear_electricity,28.32,28.32,3.230663929
2029,nuclear_electricity,30.072,30.072,3.430527036
2030,nuclear_electricity,31.824,31.824,3.630390144
2031,nuclear_electricity,33.576,33.576,3.830253251
2032,nuclear_electricity,35.328,35.328,4.030116359
2033,nuclear_electricity,37.08,37.08,4.229979466
2034,nuclear_electricity,38.832,38.832,4.429842574
2035,nuclear_electricity,40.584,40.584,4.629705681
2036,nuclear_electricity,42.336,42.336,4.829568789
2037,nuclear_electricity,44.088,44.088,5.029431896
2038,nuclear_electricity,45.84,45.84,5.229295003
2039,nuclear_electricity,47.592,47.592,5.429158111
2040,nuclear_electricity,49.344,49.344,5.629021218
2041,nuclear_electricity,51.096,51.096,5.828884326
2042,nuclear_electricity,52.848,52.848,6.028747433
2043,nuclear_electricity,54.6,54.6,6.228610541
2044,nuclear_electricity,56.352,56.352,6.428473648
2045,nuclear_electricity,58.104,58.104,6.628336756
2046,nuclear_electricity,59.856,59.856,6.828199863
2047,nuclear_electricity,61.608,61.608,7.028062971
2048,nuclear_electricity,63.36,63.36,7.227926078
2049,nuclear_electricity,65.112,65.112,7.427789185
2050,nuclear_electricity,66.864,66.864,7.627652293
2051,nuclear_electricity,68.616,68.616,7.8275154
2052,nuclear_electricity,70.368,70.368,8.027378508
2053,nuclear_electricity,72.12,72.12,8.227241615
2054,nuclear_electricity,73.872,73.872,8.427104723
2055,nuclear_electricity,75.624,75.624,8.62696783
2056,nuclear_electricity,77.376,77.376,8.826830938
2057,nuclear_electricity,79.128,79.128,9.026694045
2058,nuclear_electricity,80.88,80.88,9.226557153
2059,nuclear_electricity,82.632,82.632,9.42642026
2060,nuclear_electricity,84.384,84.384,9.626283368
2061,nuclear_electricity,86.136,86.136,9.826146475
2062,nuclear_electricity,87.888,87.888,10.02600958
2063,nuclear_electricity,89.64,89.64,10.22587269
2064,nuclear_electricity,91.392,91.392,10.4257358
2065,nuclear_electricity,93.144,93.144,10.6255989
2066,nuclear_electricity,94.896,94.896,10.82546201
2067,nuclear_electricity,96.648,96.648,11.02532512
2068,nuclear_electricity,98.4,98.4,11.22518823
2069,nuclear_electricity,100.152,100.152,11.42505133
2070,nuclear_electricity,101.904,101.904,11.62491444
2071,nuclear_electricity,103.656,103.656,11.82477755
2072,nuclear_electricity,105.408,105.408,12.02464066
2073,nuclear_electricity,107.16,107.16,12.22450376
2074,nuclear_electricity,108.912,108.912,12.42436687
2075,nuclear_electricity,110.664,110.664,12.62422998
2076,nuclear_electricity,112.416,112.416,12.82409309
2077,nuclear_electricity,114.168,114.168,13.02395619
2078,nuclear_electricity,115.92,115.92,13.2238193
2079,nuclear_electricity,117.672,117.672,13.42368241
2080,nuclear_electricity,119.424,119.424,13.62354552
2081,nuclear_electricity,121.176,121.176,13.82340862
2082,nuclear_electricity,122.928,122.928,14.02327173
2083,nuclear_electricity,124.68,124.68,14.22313484
2084,nuclear_electricity,126.432,126.432,14.42299795
2085,nuclear_electricity,128.184,128.184,14.62286105
2086,nuclear_electricity,129.936,129.936,14.82272416
2087,nuclear_electricity,131.688,131.688,15.02258727
2088,nuclear_electricity,133.44,133.44,15.22245038
2089,nuclear_electricity,135.192,135.192,15.42231348
2090,nuclear_electricity,136.944,136.944,15.62217659
2091,nuclear_electricity,138.696,138.696,15.8220397
2092,nuclear_electricity,140.448,140.448,16.02190281
2093,nuclear_electricity,142.2,142.2,16.22176591
2094,nuclear_electricity,143.952,143.952,16.42162902
2095,nuclear_electricity,145.704,145.704,16.62149213
2096,nuclear_electricity,147.456,147.456,16.82135524
2097,nuclear_electricity,149.208,149.208,17.02121834
2098,nuclear_electricity,150.96,150.96,17.22108145
2099,nuclear_electricity,152.712,152.712,17.42094456
2100,nuclear_electricity,154.464,154.464,17.62080767
