Date,Variable,Mexico,Anicca
1985,nuclear_electricity,0,0
1986,nuclear_electricity,0,0
1987,nuclear_electricity,0,0
1988,nuclear_electricity,0,0
1989,nuclear_electricity,0.37,0.042208533
1990,nuclear_electricity,2.94,0.335386721
1991,nuclear_electricity,4.24,0.483686972
1992,nuclear_electricity,3.92,0.447182295
1993,nuclear_electricity,4.93,0.562400183
1994,nuclear_electricity,4.24,0.483686972
1995,nuclear_electricity,8.44,0.96281086
1996,nuclear_electricity,7.88,0.898927675
1997,nuclear_electricity,10.46,1.193246635
1998,nuclear_electricity,9.27,1.057494867
1999,nuclear_electricity,10,1.140771161
2000,nuclear_electricity,7.81,0.890942277
2001,nuclear_electricity,8.29,0.945699293
2002,nuclear_electricity,9.26,1.056354095
2003,nuclear_electricity,9.98,1.138489619
2004,nuclear_electricity,8.73,0.995893224
2005,nuclear_electricity,10.32,1.177275838
2006,nuclear_electricity,10.4,1.186402008
2007,nuclear_electricity,9.95,1.135067305
2008,nuclear_electricity,9.36,1.067761807
2009,nuclear_electricity,10.11,1.153319644
2010,nuclear_electricity,5.66,0.645676477
2011,nuclear_electricity,9.66,1.101984942
2012,nuclear_electricity,8.41,0.959388547
2013,nuclear_electricity,11.38,1.298197582
2014,nuclear_electricity,9.3,1.06091718
2015,nuclear_electricity,11.18,1.275382158
2016,nuclear_electricity,10.27,1.171571983
2017,nuclear_electricity,10.57,1.205795117
2018,nuclear_electricity,13.32,1.519507187
2019,nuclear_electricity,10.88,1.241159023
2020,nuclear_electricity,10.87,1.240018252
2021,nuclear_electricity,11.43,1.303901437
2022,nuclear_electricity,10.36,1.181838923
2023,nuclear_electricity,11.15467355,1.27249299
2024,nuclear_electricity,11.96375971,1.364791206
2025,nuclear_electricity,12.77284588,1.457089423
2026,nuclear_electricity,13.58193204,1.549387639
2027,nuclear_electricity,14.39101821,1.641685855
2028,nuclear_electricity,15.20010437,1.733984072
2029,nuclear_electricity,16.00919054,1.826282288
2030,nuclear_electricity,16.8182767,1.918580505
2031,nuclear_electricity,17.62736287,2.010878721
2032,nuclear_electricity,18.43644903,2.103176937
2033,nuclear_electricity,19.2455352,2.195475154
2034,nuclear_electricity,20.05462136,2.28777337
2035,nuclear_electricity,20.86370753,2.380071586
2036,nuclear_electricity,21.67279369,2.472369803
2037,nuclear_electricity,22.48187986,2.564668019
2038,nuclear_electricity,23.29096602,2.656966236
2039,nuclear_electricity,24.10005219,2.749264452
2040,nuclear_electricity,24.90913835,2.841562668
2041,nuclear_electricity,25.71822452,2.933860885
2042,nuclear_electricity,26.52731068,3.026159101
2043,nuclear_electricity,27.33639685,3.118457318
2044,nuclear_electricity,28.14548301,3.210755534
2045,nuclear_electricity,28.95456918,3.30305375
2046,nuclear_electricity,29.76365534,3.395351967
2047,nuclear_electricity,30.57274151,3.487650183
2048,nuclear_electricity,31.38182767,3.5799484
2049,nuclear_electricity,32.19091384,3.672246616
2050,nuclear_electricity,33,3.764544832
2051,nuclear_electricity,33,3.764544832
2052,nuclear_electricity,33,3.764544832
2053,nuclear_electricity,33,3.764544832
2054,nuclear_electricity,33,3.764544832
2055,nuclear_electricity,33,3.764544832
2056,nuclear_electricity,33,3.764544832
2057,nuclear_electricity,33,3.764544832
2058,nuclear_electricity,33,3.764544832
2059,nuclear_electricity,33,3.764544832
2060,nuclear_electricity,33,3.764544832
2061,nuclear_electricity,33,3.764544832
2062,nuclear_electricity,33,3.764544832
2063,nuclear_electricity,33,3.764544832
2064,nuclear_electricity,33,3.764544832
2065,nuclear_electricity,33,3.764544832
2066,nuclear_electricity,33,3.764544832
2067,nuclear_electricity,33,3.764544832
2068,nuclear_electricity,33,3.764544832
2069,nuclear_electricity,33,3.764544832
2070,nuclear_electricity,33,3.764544832
2071,nuclear_electricity,33,3.764544832
2072,nuclear_electricity,33,3.764544832
2073,nuclear_electricity,33,3.764544832
2074,nuclear_electricity,33,3.764544832
2075,nuclear_electricity,33,3.764544832
2076,nuclear_electricity,33,3.764544832
2077,nuclear_electricity,33,3.764544832
2078,nuclear_electricity,33,3.764544832
2079,nuclear_electricity,33,3.764544832
2080,nuclear_electricity,33,3.764544832
2081,nuclear_electricity,33,3.764544832
2082,nuclear_electricity,33,3.764544832
2083,nuclear_electricity,33,3.764544832
2084,nuclear_electricity,33,3.764544832
2085,nuclear_electricity,33,3.764544832
2086,nuclear_electricity,33,3.764544832
2087,nuclear_electricity,33,3.764544832
2088,nuclear_electricity,33,3.764544832
2089,nuclear_electricity,33,3.764544832
2090,nuclear_electricity,33,3.764544832
2091,nuclear_electricity,33,3.764544832
2092,nuclear_electricity,33,3.764544832
2093,nuclear_electricity,33,3.764544832
2094,nuclear_electricity,33,3.764544832
2095,nuclear_electricity,33,3.764544832
2096,nuclear_electricity,33,3.764544832
2097,nuclear_electricity,33,3.764544832
2098,nuclear_electricity,33,3.764544832
2099,nuclear_electricity,33,3.764544832
2100,nuclear_electricity,33,3.764544832
