Date,Variable,North America Cop,North America Regular,Russia Regular,West Europe Regular,West Europe Cop,East Europe Regular,East Europe Cop,Asia Regular,Asia Cop,World Nuclear,World Electricity Demand,,,,,,,,,
1985,nuclear_electricity,464.41,0,99.32,230.7,366.59,9.48,84.7,33.63,176.33,1465.16,9886.06,,,,,,,,,
1986,nuclear_electricity,507.1,0,105.22,238.52,406.36,9.88,80.07,32.49,193.68,1573.32,10180.79,,,,,,,,,
1987,nuclear_electricity,556.49,0,124.7,247.98,411.22,9.18,96.07,38.76,227.92,1712.32,10670.62,,Country,2022%,2022,2050%,2050,2100%,2100,
1988,nuclear_electricity,637.58,0,134.81,273.02,431.5,12.81,124.77,36.92,214,1865.41,11140.63,,North America Cop,33%,853.8,19%,2577.6,14%,4876.7,
1989,nuclear_electricity,636.54,0.37,136.34,281.7,464.24,16.65,119.56,32.52,233.18,1921.1,11657.95,,North America Regular,0%,10.4,0%,66.9,0%,154.5,
1990,nuclear_electricity,679.68,2.94,118.33,272.93,475.35,17.03,129.2,39.69,247.46,1982.61,11960.96,,Russia Regular,9%,223.4,4%,500.0,2%,720.4,
1991,nuclear_electricity,729.15,4.24,119.98,268.46,506.43,17,125.86,41.66,265,2077.78,12222.06,,West Europe Regular,6%,162.5,0%,0.0,0%,0.0,
1992,nuclear_electricity,731.36,3.92,119.63,281.33,505.83,14.64,122.56,41.26,273.57,2094.1,12335.95,,West Europe Cop,17%,431.8,10%,1370.8,9%,2981.1,
1993,nuclear_electricity,735.69,4.93,119.19,274.46,546.78,12.26,127.13,43.04,305.84,2169.32,12599.48,,East Europe Regular,0%,4.7,0%,11.6,0%,11.6,
1994,nuclear_electricity,781.23,4.24,97.82,270.82,549.43,7.71,123.82,55.55,316.9,2207.52,12923.58,,East Europe Cop,6%,153.6,5%,611.7,3%,1062.2,
1995,nuclear_electricity,806,8.44,99.53,274.63,564.14,11.82,125.48,56.37,353.92,2300.33,13381.88,,Asia Regular,20%,516.8,50%,6777.5,59%,20461.4,
1996,nuclear_electricity,802.36,7.88,109.03,284.66,594.57,13.94,137.33,60.95,370.42,2381.14,13797.19,,Asia Cop,9%,242.7,12%,1573.4,12%,4152.7,
1997,nuclear_electricity,743.69,10.46,108.5,298.27,591.88,12.02,140.11,61.51,398.25,2364.69,14128.65,,World Nuclear,100%,2599.5,100%,13489.5,100%,34420.5,
1998,nuclear_electricity,780.15,9.27,103.72,292.45,591.76,13.55,135.97,62.82,415.66,2405.35,14511.02,,,,,,,,,
1999,nuclear_electricity,839.56,10,121.87,302.63,594.06,9.86,133.66,65.77,420.3,2497.71,14925.88,,,,,,,,,
2000,nuclear_electricity,823.05,7.81,122.46,306.43,588.71,8.42,145.24,71.39,424.48,2497.99,15107.77,,World Nuclear,9%,2599.5,29%,13489.5,44%,34420.5,
2001,nuclear_electricity,841.69,8.29,125.36,308.17,615.29,11.36,147.15,73.83,429.06,2560.2,15328.1,,World Electricity Demand,100%,28661.0,100%,46400.8,100%,78079.4,
2002,nuclear_electricity,851.81,9.26,134.14,302.45,624.46,14.14,154.36,85.83,429.5,2605.95,15870.67,,,,,,,,,
2003,nuclear_electricity,834.88,9.98,141.17,301.81,629.14,15.48,158.34,102.18,355.09,2548.07,16430.25,,,,,,,,,
2004,nuclear_electricity,874.4,8.73,137.47,304.95,637.73,15.1,164.66,113.15,412.25,2668.44,17225.04,,,,,,,,,
2005,nuclear_electricity,868.82,10.32,137.64,291.53,638.68,10.34,169.25,113.2,433.13,2672.91,17925.88,,,,,,,,,
2006,nuclear_electricity,879.66,10.4,144.65,301.87,624.55,8.65,172.86,114.89,447.89,2705.42,18627.83,,,,,,,,,
2007,nuclear_electricity,894.61,9.95,147.99,271.78,603.05,9.83,171.07,122.81,417.96,2649.05,19489.04,,,,,,,,,
2008,nuclear_electricity,894.51,9.36,152.06,280.73,589.23,9.89,174.91,126.19,398.27,2635.15,19863.99,,,,,,,,,
2009,nuclear_electricity,883.98,10.11,152.78,262.6,564.53,10.85,166.65,131.08,418.06,2600.64,19722.55,,,,,,,,,
2010,nuclear_electricity,892.5,5.66,159.41,276.83,580.92,0,174.35,142.01,436.53,2668.21,21069.53,,,,,,,,,
2011,nuclear_electricity,878.49,9.66,162.02,240.63,605.39,0,177.69,165.49,313.05,2552.42,21768.75,,,,,,,,,
2012,nuclear_electricity,858.82,8.41,166.29,226.66,592.29,0,178.99,178.6,163.66,2373.72,22289.38,,,,,,,,,
2013,nuclear_electricity,886.6,11.38,161.38,222.65,592.55,0,170.84,195.11,149.23,2389.74,22931.45,,,,,,,,,
2014,nuclear_electricity,898.38,9.3,169.07,215.7,599.15,0,177.42,218.95,151.44,2439.41,23519.28,,,,,,,,,
2015,nuclear_electricity,893.23,11.18,182.81,198.18,597.1,0,172.47,253.99,164.25,2473.21,23762.83,,,,,,,,,
2016,nuclear_electricity,901.38,10.27,184.05,207.93,570.91,0,162.94,294.65,174.07,2506.2,24412.38,,,,,,,,,
2017,nuclear_electricity,900.52,10.57,190.12,196.97,566.57,0,172.16,323.03,172.76,2532.7,25169.85,,,,,,,,,
2018,nuclear_electricity,902.11,13.32,181.76,185.88,578.63,0,172.4,377.91,178.09,2590.1,26174.37,,,,,,,,,
2019,nuclear_electricity,904.88,10.88,195.54,203.36,554.92,0,172.66,441.66,206.35,2690.25,26515.59,,,,,,,,,
2020,nuclear_electricity,882.53,10.87,215.74,181.13,487.04,0.34,165.84,458.22,199.76,2601.47,26446.62,,,,,,,,,
2021,nuclear_electricity,867.01,11.43,222.44,195.38,511.37,5.78,176.51,498.49,224.14,2712.55,28002.92,,,,,,,,,
2022,nuclear_electricity,853.82,10.36,223.41,162.45,431.82,4.69,153.59,516.75,242.6536314,2599.543631,28660.98,,,,,,,,,
2023,nuclear_electricity,846.4521406,11.15467355,226.3437382,125.2287518,451.2735533,11.6,160.3025656,540.0644005,248.2068501,2620.626674,29294.35224,,,,,,,,,
2024,nuclear_electricity,944.7140385,15.39303124,252.8448973,114.1363729,501.064225,11.6,181.7025565,645.5222179,298.7175754,2965.694915,29927.92383,,,,,,,,,
2025,nuclear_electricity,1043.093059,20.35823514,279.3460564,102.0339558,550.9670176,11.6,203.1593103,753.2042056,350.7427916,3314.504631,30561.49541,,,,,,,,,
2026,nuclear_electricity,1142.206115,24.816,305.8472155,92.70020827,598.1063372,11.6,224.6536395,897.9446973,404.6005638,3702.474777,31195.06699,,,,,,,,,
2027,nuclear_electricity,1241.035438,26.568,332.3483746,82.10853519,630.1328114,11.6,246.1714658,1042.780664,458.330624,4071.075913,31828.63857,,,,,,,,,
2028,nuclear_electricity,1339.588956,28.32,358.8495337,71.86234865,662.0691895,11.6,267.7038287,1184.593355,510.9301538,4435.517365,32462.21015,,,,,,,,,
2029,nuclear_electricity,1438.367662,30.072,385.3506928,60.87892886,694.6369656,11.6,289.2451664,1324.184793,563.1342616,4797.47047,33095.78174,,,,,,,,,
2030,nuclear_electricity,1537.213521,31.824,411.8518519,50.56204628,726.7854116,11.6,310.7920426,1465.045251,615.8384541,5161.512578,33729.35332,,,,,,,,,
2031,nuclear_electricity,1607.345345,33.576,416.2592593,39.96897529,758.7351327,11.6,332.3423363,1607.230576,655.1404721,5462.198097,34362.9249,,,,,,,,,
2032,nuclear_electricity,1677.477169,35.328,420.6666667,29.59280308,791.1906199,11.6,352.6810681,1875.910465,694.3318534,5888.778645,34996.49648,,,,,,,,,
2033,nuclear_electricity,1747.608993,37.08,425.0740741,18.96831682,823.4158777,11.6,382.7314601,2142.437601,733.5107427,6322.427065,35630.06806,,,,,,,,,
2034,nuclear_electricity,1817.740817,38.832,429.4814815,8.502974551,855.399188,11.6,403.1649924,2406.597562,772.6277093,6743.946725,36263.63965,,,,,,,,,
2035,nuclear_electricity,1887.872641,40.584,433.8888889,0,887.7642333,11.6,423.5985249,2671.108484,811.8982633,7168.315035,36897.21123,,,,,,,,,
2036,nuclear_electricity,1933.854465,42.336,438.2962963,0,920.0322869,11.6,443.2058221,2945.50661,851.2691422,7586.100623,37530.78281,,,,,,,,,
2037,nuclear_electricity,1979.836288,44.088,442.7037037,0,952.0575891,11.6,462.8131193,3221.313959,902.8967169,8017.309376,38164.35439,,,,,,,,,
2038,nuclear_electricity,2025.818113,45.84,447.1111111,0,984.354012,11.6,482.4204165,3495.800501,954.4451071,8447.389261,38797.92597,,,,,,,,,
2039,nuclear_electricity,2071.799937,47.592,451.5185185,0,1016.640755,11.6,502.0277137,3768.034862,1005.989081,8875.202867,39431.49756,,,,,,,,,
2040,nuclear_electricity,2117.781761,49.344,455.9259259,0,1048.708713,11.6,521.6350109,4039.921014,1057.57777,9302.494195,40065.06914,,,,,,,,,
2041,nuclear_electricity,2163.763584,51.096,460.3333333,0,1080.956121,11.6,530.6445098,4313.673902,1109.187665,9721.255115,40698.64072,,,,,,,,,
2042,nuclear_electricity,2209.745408,52.848,464.7407407,0,1113.245641,11.6,539.6540088,4589.068614,1160.780097,10141.68251,41332.2123,,,,,,,,,
2043,nuclear_electricity,2255.727233,54.6,469.1481481,0,1145.352348,11.6,548.6635076,4863.869516,1212.352794,10561.31355,41965.78388,,,,,,,,,
2044,nuclear_electricity,2301.709057,56.352,473.5555556,0,1177.567086,11.6,557.6730065,5136.712338,1263.927545,10979.09659,42599.35546,,,,,,,,,
2045,nuclear_electricity,2347.69088,58.104,477.962963,0,1209.849843,11.6,566.6825055,5408.732398,1315.514752,11396.13734,43232.92705,,,,,,,,,
2046,nuclear_electricity,2393.672704,59.856,482.3703704,0,1241.989125,11.6,575.6920044,5682.009025,1367.105937,11814.29517,43866.49863,,,,,,,,,
2047,nuclear_electricity,2439.654528,61.608,486.7777778,0,1274.183995,11.6,584.7015033,5956.942592,1418.691453,12234.15985,44500.07021,,,,,,,,,
2048,nuclear_electricity,2485.636353,63.36,491.1851852,0,1306.455116,11.6,593.7110022,6231.865213,1470.272272,12654.08514,45133.64179,,,,,,,,,
2049,nuclear_electricity,2531.618176,65.112,495.5925926,0,1338.6201,11.6,602.720501,6505.226255,1521.854469,13072.34409,45767.21337,,,,,,,,,
2050,nuclear_electricity,2577.6,66.864,500,0,1370.804554,11.6,611.73,6777.497298,1573.44,13489.53585,46400.78496,,,,,,,,,
2051,nuclear_electricity,2623.581824,68.616,504.4074074,0,1403.062374,11.6,620.739499,7050.464781,1625.026109,13907.49799,47034.35654,,,,,,,,,
2052,nuclear_electricity,2669.563647,70.368,508.8148148,0,1435.246473,11.6,629.7489978,7324.945159,1676.610499,14326.89759,47667.92812,,,,,,,,,
2053,nuclear_electricity,2715.545472,72.12,513.2222222,0,1467.427059,11.6,638.7584968,7599.838384,1728.193833,14746.70547,48301.4997,,,,,,,,,
2054,nuclear_electricity,2761.527296,73.872,517.6296296,0,1499.67195,11.6,647.7679956,7873.603712,1779.777738,15165.45032,48935.07128,,,,,,,,,
2055,nuclear_electricity,2807.50912,75.624,522.037037,0,1531.869405,11.6,656.7774945,8146.187175,1831.362502,15582.96673,49568.64287,,,,,,,,,
2056,nuclear_electricity,2853.490943,77.376,526.4444444,0,1564.050326,11.6,665.7869935,8418.995649,1882.947288,16000.69164,50202.21445,,,,,,,,,
2057,nuclear_electricity,2899.472767,79.128,530.8518519,0,1596.283802,11.6,674.7964924,8693.071006,1934.531577,16419.7355,50835.78603,,,,,,,,,
2058,nuclear_electricity,2945.454592,80.88,535.2592593,0,1628.489919,11.6,683.8059913,8967.827976,1986.115648,16839.43339,51469.35761,,,,,,,,,
2059,nuclear_electricity,2991.436416,82.632,539.6666667,0,1660.673585,11.6,692.8154902,9241.877127,2037.699919,17258.4012,52102.92919,,,,,,,,,
2060,nuclear_electricity,3037.418239,84.384,544.0740741,0,1692.89768,11.6,701.8249892,9514.788346,2089.284402,17676.27173,52736.50077,,,,,,,,,
2061,nuclear_electricity,3083.400063,86.136,548.4814815,0,1725.108852,11.6,710.834488,9787.561585,2140.868856,18093.99133,53370.07236,,,,,,,,,
2062,nuclear_electricity,3129.381887,87.888,552.8888889,0,1757.296391,11.6,719.8439869,10061.30475,2192.453172,18512.65708,54003.64394,,,,,,,,,
2063,nuclear_electricity,3175.363712,89.64,557.2962963,0,1789.513231,11.6,728.8534859,10335.8607,2244.037449,18932.16487,54637.21552,,,,,,,,,
2064,nuclear_electricity,3221.345535,91.392,561.7037037,0,1821.726853,11.6,737.8629847,10610.07975,2295.62179,19351.33262,55270.7871,,,,,,,,,
2065,nuclear_electricity,3267.327359,93.144,566.1111111,0,1853.918531,11.6,746.8724837,10883.29919,2347.206181,19769.47886,55904.35868,,,,,,,,,
2066,nuclear_electricity,3313.309183,94.896,570.5185185,0,1886.130084,11.6,755.8819826,11156.13026,2398.790555,20187.25658,56537.93027,,,,,,,,,
2067,nuclear_electricity,3359.291007,96.648,574.9259259,0,1918.34439,11.6,764.8914814,11429.62513,2450.374893,20605.70083,57171.50185,,,,,,,,,
2068,nuclear_electricity,3405.272831,98.4,579.3333333,0,1950.539946,11.6,773.9009804,11703.95191,2501.959225,21024.95823,57805.07343,,,,,,,,,
2069,nuclear_electricity,3451.254655,100.152,583.7407407,0,1982.747889,11.6,782.9104793,11978.24232,2553.543577,21444.19166,58438.64501,,,,,,,,,
2070,nuclear_electricity,3497.236479,101.904,588.1481481,0,2014.961786,11.6,791.9199782,12251.72697,2605.12794,21862.6253,59072.21659,,,,,,,,,
2071,nuclear_electricity,3543.218303,103.656,592.5555556,0,2047.160677,11.6,800.929477,12524.67798,2656.712296,22280.51029,59705.78818,,,,,,,,,
2072,nuclear_electricity,3589.200126,105.408,596.962963,0,2079.366351,11.6,809.9389761,12798.00864,2708.296642,22698.7817,60339.35976,,,,,,,,,
2073,nuclear_electricity,3635.181951,107.16,601.3703704,0,2111.579241,11.6,818.948475,13072.10724,2759.880989,23117.82827,60972.93134,,,,,,,,,
2074,nuclear_electricity,3681.163775,108.912,605.7777778,0,2143.780814,11.6,827.9579738,13346.39088,2811.465342,23537.04856,61606.50292,,,,,,,,,
2075,nuclear_electricity,3727.145599,110.664,610.1851852,0,2175.985227,11.6,836.9674728,13620.08474,2863.049696,23955.68192,62240.0745,,,,,,,,,
2076,nuclear_electricity,3773.127422,112.416,614.5925926,0,2208.196864,11.6,845.9769716,13893.1895,2914.634048,24373.7334,62873.64609,,,,,,,,,
2077,nuclear_electricity,3819.109246,114.168,619,0,2240.400473,11.6,854.9864706,14166.43231,2966.218399,24791.9149,63507.21767,,,,,,,,,
2078,nuclear_electricity,3865.091071,115.92,623.4074074,0,2272.604338,11.6,863.9959695,14440.32481,3017.802749,25210.74634,64140.78925,,,,,,,,,
2079,nuclear_electricity,3911.072894,117.672,627.8148148,0,2304.814706,11.6,873.0054684,14714.54564,3069.387101,25629.91262,64774.36083,,,,,,,,,
2080,nuclear_electricity,3957.054718,119.424,632.2222222,0,2337.019766,11.6,882.0149674,14988.3885,3120.971453,26048.69563,65407.93241,,,,,,,,,
2081,nuclear_electricity,4003.036542,121.176,636.6296296,0,2369.223553,11.6,891.0244662,15261.65717,3172.555804,26466.90316,66041.50399,,,,,,,,,
2082,nuclear_electricity,4049.018366,122.928,641.037037,0,2401.432769,11.6,900.0339651,15534.87572,3224.140156,26885.06601,66675.07558,,,,,,,,,
2083,nuclear_electricity,4095.00019,124.68,645.4444444,0,2433.638796,11.6,909.0434641,15808.59742,3275.724507,27303.72882,67308.64716,,,,,,,,,
2084,nuclear_electricity,4140.982014,126.432,649.8518519,0,2465.842789,11.6,918.052963,16082.72065,3327.308859,27722.79113,67942.21874,,,,,,,,,
2085,nuclear_electricity,4186.963838,128.184,654.2592593,0,2498.051037,11.6,927.0624619,16356.65493,3378.89321,28141.66874,68575.79032,,,,,,,,,
2086,nuclear_electricity,4232.945662,129.936,658.6666667,0,2530.257651,11.6,936.0719607,16630.07953,3430.477561,28560.03503,69209.3619,,,,,,,,,
