Date,Variable,Russia,Russia Regular,Anicca
1985,nuclear_electricity,99.32,99.32,11.33013917
1986,nuclear_electricity,105.22,105.22,12.00319416
1987,nuclear_electricity,124.7,124.7,14.22541638
1988,nuclear_electricity,134.81,134.81,15.37873603
1989,nuclear_electricity,136.34,136.34,15.55327401
1990,nuclear_electricity,118.33,118.33,13.49874515
1991,nuclear_electricity,119.98,119.98,13.68697239
1992,nuclear_electricity,119.63,119.63,13.6470454
1993,nuclear_electricity,119.19,119.19,13.59685147
1994,nuclear_electricity,97.82,97.82,11.1590235
1995,nuclear_electricity,99.53,99.53,11.35409537
1996,nuclear_electricity,109.03,109.03,12.43782797
1997,nuclear_electricity,108.5,108.5,12.3773671
1998,nuclear_electricity,103.72,103.72,11.83207849
1999,nuclear_electricity,121.87,121.87,13.90257814
2000,nuclear_electricity,122.46,122.46,13.96988364
2001,nuclear_electricity,125.36,125.36,14.30070728
2002,nuclear_electricity,134.14,134.14,15.30230436
2003,nuclear_electricity,141.17,141.17,16.10426648
2004,nuclear_electricity,137.47,137.47,15.68218115
2005,nuclear_electricity,137.64,137.64,15.70157426
2006,nuclear_electricity,144.65,144.65,16.50125485
2007,nuclear_electricity,147.99,147.99,16.88227242
2008,nuclear_electricity,152.06,152.06,17.34656628
2009,nuclear_electricity,152.78,152.78,17.4287018
2010,nuclear_electricity,159.41,159.41,18.18503308
2011,nuclear_electricity,162.02,162.02,18.48277436
2012,nuclear_electricity,166.29,166.29,18.96988364
2013,nuclear_electricity,161.38,161.38,18.409765
2014,nuclear_electricity,169.07,169.07,19.28701802
2015,nuclear_electricity,182.81,182.81,20.8544376
2016,nuclear_electricity,184.05,184.05,20.99589322
2017,nuclear_electricity,190.12,190.12,21.68834132
2018,nuclear_electricity,181.76,181.76,20.73465663
2019,nuclear_electricity,195.54,195.54,22.30663929
2020,nuclear_electricity,215.74,215.74,24.61099703
2021,nuclear_electricity,222.44,222.44,25.37531371
2022,nuclear_electricity,223.41,223.41,25.48596851
2023,nuclear_electricity,226.3437382,226.3437382,25.82064091
2024,nuclear_electricity,252.8448973,252.8448973,28.84381671
2025,nuclear_electricity,279.3460564,279.3460564,31.86699252
2026,nuclear_electricity,305.8472155,305.8472155,34.89016832
2027,nuclear_electricity,332.3483746,332.3483746,37.91334412
2028,nuclear_electricity,358.8495337,358.8495337,40.93651993
2029,nuclear_electricity,385.3506928,385.3506928,43.95969573
2030,nuclear_electricity,411.8518519,411.8518519,46.98287153
2031,nuclear_electricity,416.2592593,416.2592593,47.48565586
2032,nuclear_electricity,420.6666667,420.6666667,47.98844019
2033,nuclear_electricity,425.0740741,425.0740741,48.49122451
2034,nuclear_electricity,429.4814815,429.4814815,48.99400884
2035,nuclear_electricity,433.8888889,433.8888889,49.49679317
2036,nuclear_electricity,438.2962963,438.2962963,49.99957749
2037,nuclear_electricity,442.7037037,442.7037037,50.50236182
2038,nuclear_electricity,447.1111111,447.1111111,51.00514615
2039,nuclear_electricity,451.5185185,451.5185185,51.50793047
2040,nuclear_electricity,455.9259259,455.9259259,52.0107148
2041,nuclear_electricity,460.3333333,460.3333333,52.51349913
2042,nuclear_electricity,464.7407407,464.7407407,53.01628345
2043,nuclear_electricity,469.1481481,469.1481481,53.51906778
2044,nuclear_electricity,473.5555556,473.5555556,54.02185211
2045,nuclear_electricity,477.962963,477.962963,54.52463643
2046,nuclear_electricity,482.3703704,482.3703704,55.02742076
2047,nuclear_electricity,486.7777778,486.7777778,55.53020509
2048,nuclear_electricity,491.1851852,491.1851852,56.03298941
2049,nuclear_electricity,495.5925926,495.5925926,56.53577374
2050,nuclear_electricity,500,500,57.03855807
2051,nuclear_electricity,504.4074074,504.4074074,57.54134239
2052,nuclear_electricity,508.8148148,508.8148148,58.04412672
2053,nuclear_electricity,513.2222222,513.2222222,58.54691105
2054,nuclear_electricity,517.6296296,517.6296296,59.04969537
2055,nuclear_electricity,522.037037,522.037037,59.5524797
2056,nuclear_electricity,526.4444444,526.4444444,60.05526403
2057,nuclear_electricity,530.8518519,530.8518519,60.55804835
2058,nuclear_electricity,535.2592593,535.2592593,61.06083268
2059,nuclear_electricity,539.6666667,539.6666667,61.56361701
2060,nuclear_electricity,544.0740741,544.0740741,62.06640133
2061,nuclear_electricity,548.4814815,548.4814815,62.56918566
2062,nuclear_electricity,552.8888889,552.8888889,63.07196999
2063,nuclear_electricity,557.2962963,557.2962963,63.57475431
2064,nuclear_electricity,561.7037037,561.7037037,64.07753864
2065,nuclear_electricity,566.1111111,566.1111111,64.58032296
2066,nuclear_electricity,570.5185185,570.5185185,65.08310729
2067,nuclear_electricity,574.9259259,574.9259259,65.58589162
2068,nuclear_electricity,579.3333333,579.3333333,66.08867594
2069,nuclear_electricity,583.7407407,583.7407407,66.59146027
2070,nuclear_electricity,588.1481481,588.1481481,67.0942446
2071,nuclear_electricity,592.5555556,592.5555556,67.59702892
2072,nuclear_electricity,596.962963,596.962963,68.09981325
2073,nuclear_electricity,601.3703704,601.3703704,68.60259758
2074,nuclear_electricity,605.7777778,605.7777778,69.1053819
2075,nuclear_electricity,610.1851852,610.1851852,69.60816623
2076,nuclear_electricity,614.5925926,614.5925926,70.11095056
2077,nuclear_electricity,619,619,70.61373488
2078,nuclear_electricity,623.4074074,623.4074074,71.11651921
2079,nuclear_electricity,627.8148148,627.8148148,71.61930354
2080,nuclear_electricity,632.2222222,632.2222222,72.12208786
2081,nuclear_electricity,636.6296296,636.6296296,72.62487219
2082,nuclear_electricity,641.037037,641.037037,73.12765652
2083,nuclear_electricity,645.4444444,645.4444444,73.63044084
2084,nuclear_electricity,649.8518519,649.8518519,74.13322517
2085,nuclear_electricity,654.2592593,654.2592593,74.6360095
2086,nuclear_electricity,658.6666667,658.6666667,75.13879382
2087,nuclear_electricity,663.0740741,663.0740741,75.64157815
2088,nuclear_electricity,667.4814815,667.4814815,76.14436248
2089,nuclear_electricity,671.8888889,671.8888889,76.6471468
2090,nuclear_electricity,676.2962963,676.2962963,77.14993113
2091,nuclear_electricity,680.7037037,680.7037037,77.65271546
2092,nuclear_electricity,685.1111111,685.1111111,78.15549978
2093,nuclear_electricity,689.5185185,689.5185185,78.65828411
2094,nuclear_electricity,693.9259259,693.9259259,79.16106844
2095,nuclear_electricity,698.3333333,698.3333333,79.66385276
2096,nuclear_electricity,702.7407407,702.7407407,80.16663709
2097,nuclear_electricity,707.1481481,707.1481481,80.66942142
2098,nuclear_electricity,711.5555556,711.5555556,81.17220574
2099,nuclear_electricity,715.962963,715.962963,81.67499007
2100,nuclear_electricity,720.3703704,720.3703704,82.1777744
