Country,Date,nuclear_electricity
Mexico,1900,
Mexico,1901,
Mexico,1902,
Mexico,1903,
Mexico,1904,
Mexico,1905,
Mexico,1906,
Mexico,1907,
Mexico,1908,
Mexico,1909,
Mexico,1910,
Mexico,1911,
Mexico,1912,
Mexico,1913,
Mexico,1914,
Mexico,1915,
Mexico,1916,
Mexico,1917,
Mexico,1918,
Mexico,1919,
Mexico,1920,
Mexico,1921,
Mexico,1922,
Mexico,1923,
Mexico,1924,
Mexico,1925,
Mexico,1926,
Mexico,1927,
Mexico,1928,
Mexico,1929,
Mexico,1930,
Mexico,1931,
Mexico,1932,
Mexico,1933,
Mexico,1934,
Mexico,1935,
Mexico,1936,
Mexico,1937,
Mexico,1938,
Mexico,1939,
Mexico,1940,
Mexico,1941,
Mexico,1942,
Mexico,1943,
Mexico,1944,
Mexico,1945,
Mexico,1946,
Mexico,1947,
Mexico,1948,
Mexico,1949,
Mexico,1950,
Mexico,1951,
Mexico,1952,
Mexico,1953,
Mexico,1954,
Mexico,1955,
Mexico,1956,
Mexico,1957,
Mexico,1958,
Mexico,1959,
Mexico,1960,
Mexico,1961,
Mexico,1962,
Mexico,1963,
Mexico,1964,
Mexico,1965,0.0
Mexico,1966,0.0
Mexico,1967,0.0
Mexico,1968,0.0
Mexico,1969,0.0
Mexico,1970,0.0
Mexico,1971,0.0
Mexico,1972,0.0
Mexico,1973,0.0
Mexico,1974,0.0
Mexico,1975,0.0
Mexico,1976,0.0
Mexico,1977,0.0
Mexico,1978,0.0
Mexico,1979,0.0
Mexico,1980,0.0
Mexico,1981,0.0
Mexico,1982,0.0
Mexico,1983,0.0
Mexico,1984,0.0
Mexico,1985,0.0
Mexico,1986,0.0
Mexico,1987,0.0
Mexico,1988,0.0
Mexico,1989,0.37
Mexico,1990,2.94
Mexico,1991,4.24
Mexico,1992,3.92
Mexico,1993,4.93
Mexico,1994,4.24
Mexico,1995,8.44
Mexico,1996,7.88
Mexico,1997,10.46
Mexico,1998,9.27
Mexico,1999,10.0
Mexico,2000,7.81
Mexico,2001,8.29
Mexico,2002,9.26
Mexico,2003,9.98
Mexico,2004,8.73
Mexico,2005,10.32
Mexico,2006,10.4
Mexico,2007,9.95
Mexico,2008,9.36
Mexico,2009,10.11
Mexico,2010,5.66
Mexico,2011,9.66
Mexico,2012,8.41
Mexico,2013,11.38
Mexico,2014,9.3
Mexico,2015,11.18
Mexico,2016,10.27
Mexico,2017,10.57
Mexico,2018,13.32
Mexico,2019,10.88
Mexico,2020,10.87
Mexico,2021,11.43
Mexico,2022,10.36
Mexico,2023,11.154673548325116
Mexico,2024,15.393031236061237
Mexico,2025,20.358235141064025
Mexico,2026,24.816
Mexico,2027,26.567999999999998
Mexico,2028,28.32
Mexico,2029,30.072
Mexico,2030,31.823999999999998
Mexico,2031,33.576
Mexico,2032,35.328
Mexico,2033,37.08
Mexico,2034,38.832
Mexico,2035,40.584
Mexico,2036,42.336
Mexico,2037,44.088
Mexico,2038,45.84
Mexico,2039,47.592
Mexico,2040,49.344
Mexico,2041,51.096000000000004
Mexico,2042,52.848
Mexico,2043,54.6
Mexico,2044,56.352000000000004
Mexico,2045,58.104
Mexico,2046,59.85600000000001
Mexico,2047,61.608000000000004
Mexico,2048,63.36
Mexico,2049,65.112
Mexico,2050,66.864
Mexico,2051,68.61600000000001
Mexico,2052,70.36800000000001
Mexico,2053,72.12
Mexico,2054,73.872
Mexico,2055,75.624
Mexico,2056,77.376
Mexico,2057,79.12800000000001
Mexico,2058,80.88
Mexico,2059,82.632
Mexico,2060,84.384
Mexico,2061,86.13600000000001
Mexico,2062,87.888
Mexico,2063,89.64
Mexico,2064,91.392
Mexico,2065,93.144
Mexico,2066,94.89600000000002
Mexico,2067,96.64800000000001
Mexico,2068,98.4
Mexico,2069,100.15200000000002
Mexico,2070,101.90400000000001
Mexico,2071,103.656
Mexico,2072,105.408
Mexico,2073,107.16
Mexico,2074,108.912
Mexico,2075,110.664
Mexico,2076,112.41600000000001
Mexico,2077,114.168
Mexico,2078,115.92000000000002
Mexico,2079,117.67200000000001
Mexico,2080,119.424
Mexico,2081,121.17600000000002
Mexico,2082,122.928
Mexico,2083,124.68
Mexico,2084,126.432
Mexico,2085,128.18400000000003
Mexico,2086,129.936
Mexico,2087,131.68800000000002
Mexico,2088,133.44
Mexico,2089,135.192
Mexico,2090,136.94400000000002
Mexico,2091,138.69600000000003
Mexico,2092,140.44800000000004
Mexico,2093,142.2
Mexico,2094,143.952
Mexico,2095,145.704
Mexico,2096,147.45600000000002
Mexico,2097,149.20800000000003
Mexico,2098,150.96
Mexico,2099,152.71200000000002
Mexico,2100,154.464
