Country,Date,nuclear_electricity
Finland,1965,0.0
Finland,1966,0.0
Finland,1967,0.0
Finland,1968,0.0
Finland,1969,0.0
Finland,1970,0.0
Finland,1971,0.0
Finland,1972,0.0
Finland,1973,0.0
Finland,1974,0.0
Finland,1975,0.0
Finland,1976,0.0
Finland,1977,2.64
Finland,1978,3.24
Finland,1979,6.7
Finland,1980,6.97
Finland,1981,14.56
Finland,1982,16.66
Finland,1983,17.6
Finland,1984,18.74
Finland,1985,18.93
Finland,1986,18.95
Finland,1987,19.51
Finland,1988,19.42
Finland,1989,18.96
Finland,1990,19.22
Finland,1991,19.51
Finland,1992,19.26
Finland,1993,19.93
Finland,1994,19.43
Finland,1995,19.22
Finland,1996,19.48
Finland,1997,20.89
Finland,1998,21.85
Finland,1999,22.97
Finland,2000,22.48
Finland,2001,22.77
Finland,2002,22.3
Finland,2003,22.73
Finland,2004,22.72
Finland,2005,23.27
Finland,2006,22.91
Finland,2007,23.42
Finland,2008,22.96
Finland,2009,23.53
Finland,2010,22.8
Finland,2011,23.19
Finland,2012,22.99
Finland,2013,23.61
Finland,2014,23.58
Finland,2015,23.25
Finland,2016,23.2
Finland,2017,22.48
Finland,2018,22.79
Finland,2019,23.87
Finland,2020,23.29
Finland,2021,23.6
Finland,2022,25.09
Finland,2023,40.0
Finland,2024,42.96296296296296
Finland,2025,45.925925925925924
Finland,2026,48.888888888888886
Finland,2027,51.85185185185185
Finland,2028,54.81481481481481
Finland,2029,57.77777777777778
Finland,2030,60.74074074074074
Finland,2031,63.7037037037037
Finland,2032,66.66666666666666
Finland,2033,69.62962962962962
Finland,2034,72.59259259259258
Finland,2035,75.55555555555556
Finland,2036,78.51851851851852
Finland,2037,81.48148148148148
Finland,2038,84.44444444444444
Finland,2039,87.4074074074074
Finland,2040,90.37037037037037
Finland,2041,93.33333333333333
Finland,2042,96.29629629629629
Finland,2043,99.25925925925925
Finland,2044,102.22222222222223
Finland,2045,105.18518518518518
Finland,2046,108.14814814814814
Finland,2047,111.11111111111111
Finland,2048,114.07407407407408
Finland,2049,117.03703703703704
Finland,2050,120.0
Finland,2051,122.96296296296296
Finland,2052,125.92592592592592
Finland,2053,128.88888888888889
Finland,2054,131.85185185185185
Finland,2055,134.8148148148148
Finland,2056,137.77777777777777
Finland,2057,140.74074074074073
Finland,2058,143.7037037037037
Finland,2059,146.66666666666666
Finland,2060,149.62962962962962
Finland,2061,152.59259259259258
Finland,2062,155.55555555555554
Finland,2063,158.5185185185185
Finland,2064,161.48148148148147
Finland,2065,164.44444444444446
Finland,2066,167.4074074074074
Finland,2067,170.37037037037035
Finland,2068,173.33333333333331
Finland,2069,176.29629629629628
Finland,2070,179.25925925925924
Finland,2071,182.22222222222223
Finland,2072,185.1851851851852
Finland,2073,188.14814814814815
Finland,2074,191.11111111111111
Finland,2075,194.07407407407408
Finland,2076,197.03703703703704
Finland,2077,200.0
Finland,2078,202.96296296296296
Finland,2079,205.92592592592592
Finland,2080,208.88888888888889
Finland,2081,211.85185185185185
Finland,2082,214.8148148148148
Finland,2083,217.77777777777777
Finland,2084,220.74074074074073
Finland,2085,223.7037037037037
Finland,2086,226.66666666666666
Finland,2087,229.62962962962962
Finland,2088,232.59259259259258
Finland,2089,235.55555555555554
Finland,2090,238.5185185185185
Finland,2091,241.48148148148147
Finland,2092,244.44444444444443
Finland,2093,247.4074074074074
Finland,2094,250.37037037037035
Finland,2095,253.33333333333331
Finland,2096,256.2962962962963
Finland,2097,259.25925925925924
Finland,2098,262.2222222222222
Finland,2099,265.18518518518516
Finland,2100,268.14814814814815
France,1900,
France,1901,
France,1902,
France,1903,
France,1904,
France,1905,
France,1906,
France,1907,
France,1908,
France,1909,
France,1910,
France,1911,
France,1912,
France,1913,
France,1914,
France,1915,
France,1916,
France,1917,
