Country,Date,nuclear_electricity
Italy,1900,
Italy,1901,
Italy,1902,
Italy,1903,
Italy,1904,
Italy,1905,
Italy,1906,
Italy,1907,
Italy,1908,
Italy,1909,
Italy,1910,
Italy,1911,
Italy,1912,
Italy,1913,
Italy,1914,
Italy,1915,
Italy,1916,
Italy,1917,
Italy,1918,
Italy,1919,
Italy,1920,
Italy,1921,
Italy,1922,
Italy,1923,
Italy,1924,
Italy,1925,
Italy,1926,
Italy,1927,
Italy,1928,
Italy,1929,
Italy,1930,
Italy,1931,
Italy,1932,
Italy,1933,
Italy,1934,
Italy,1935,
Italy,1936,
Italy,1937,
Italy,1938,
Italy,1939,
Italy,1940,
Italy,1941,
Italy,1942,
Italy,1943,
Italy,1944,
Italy,1945,
Italy,1946,
Italy,1947,
Italy,1948,
Italy,1949,
Italy,1950,
Italy,1951,
Italy,1952,
Italy,1953,
Italy,1954,
Italy,1955,
Italy,1956,
Italy,1957,
Italy,1958,
Italy,1959,
Italy,1960,
Italy,1961,
Italy,1962,
Italy,1963,
Italy,1964,
Italy,1965,3.51
Italy,1966,3.86
Italy,1967,3.15
Italy,1968,2.58
Italy,1969,1.68
Italy,1970,3.18
Italy,1971,3.37
Italy,1972,3.63
Italy,1973,3.14
Italy,1974,3.41
Italy,1975,3.8
Italy,1976,3.81
Italy,1977,3.39
Italy,1978,4.43
Italy,1979,2.63
Italy,1980,2.21
Italy,1981,2.71
Italy,1982,6.8
Italy,1983,5.78
Italy,1984,6.89
Italy,1985,7.02
Italy,1986,8.76
Italy,1987,0.17
Italy,1988,0.0
Italy,1989,0.0
Italy,1990,0.0
Italy,1991,0.0
Italy,1992,0.0
Italy,1993,0.0
Italy,1994,0.0
Italy,1995,0.0
Italy,1996,0.0
Italy,1997,0.0
Italy,1998,0.0
Italy,1999,0.0
Italy,2000,0.0
Italy,2001,0.0
Italy,2002,0.0
Italy,2003,0.0
Italy,2004,0.0
Italy,2005,0.0
Italy,2006,0.0
Italy,2007,0.0
Italy,2008,0.0
Italy,2009,0.0
Italy,2010,0.0
Italy,2011,0.0
Italy,2012,0.0
Italy,2013,0.0
Italy,2014,0.0
Italy,2015,0.0
Italy,2016,0.0
Italy,2017,0.0
Italy,2018,0.0
Italy,2019,0.0
Italy,2020,0.0
Italy,2021,0.0
Italy,2022,0.0
Italy,2023,0.0
Italy,2024,0.0
Italy,2025,0.0
Italy,2026,0.0
Italy,2027,0.0
Italy,2028,0.0
Italy,2029,0.0
Italy,2030,0.0
Italy,2031,0.0
Italy,2032,0.0
Italy,2033,0.0
Italy,2034,0.0
Italy,2035,0.0
Italy,2036,0.0
Italy,2037,0.0
Italy,2038,0.0
Italy,2039,0.0
Italy,2040,0.0
Italy,2041,0.0
Italy,2042,0.0
Italy,2043,0.0
Italy,2044,0.0
Italy,2045,0.0
Italy,2046,0.0
Italy,2047,0.0
Italy,2048,0.0
Italy,2049,0.0
Italy,2050,0.0
Italy,2051,0.0
Italy,2052,0.0
Italy,2053,0.0
Italy,2054,0.0
Italy,2055,0.0
Italy,2056,0.0
Italy,2057,0.0
Italy,2058,0.0
Italy,2059,0.0
Italy,2060,0.0
Italy,2061,0.0
Italy,2062,0.0
Italy,2063,0.0
Italy,2064,0.0
Italy,2065,0.0
Italy,2066,0.0
Italy,2067,0.0
Italy,2068,0.0
Italy,2069,0.0
Italy,2070,0.0
Italy,2071,0.0
Italy,2072,0.0
Italy,2073,0.0
Italy,2074,0.0
Italy,2075,0.0
Italy,2076,0.0
Italy,2077,0.0
Italy,2078,0.0
Italy,2079,0.0
Italy,2080,0.0
Italy,2081,0.0
Italy,2082,0.0
Italy,2083,0.0
Italy,2084,0.0
Italy,2085,0.0
Italy,2086,0.0
Italy,2087,0.0
Italy,2088,0.0
Italy,2089,0.0
Italy,2090,0.0
Italy,2091,0.0
Italy,2092,0.0
Italy,2093,0.0
Italy,2094,0.0
Italy,2095,0.0
Italy,2096,0.0
Italy,2097,0.0
Italy,2098,0.0
Italy,2099,0.0
Italy,2100,0.0
Spain,1900,
Spain,1901,
Spain,1902,
Spain,1903,
Spain,1904,
Spain,1905,
Spain,1906,
Spain,1907,
Spain,1908,
Spain,1909,
Spain,1910,
Spain,1911,
Spain,1912,
Spain,1913,
Spain,1914,
Spain,1915,
Spain,1916,
Spain,1917,
Spain,1918,
Spain,1919,
Spain,1920,
Spain,1921,
Spain,1922,
Spain,1923,
Spain,1924,
Spain,1925,
Spain,1926,
Spain,1927,
Spain,1928,
Spain,1929,
Spain,1930,
Spain,1931,
Spain,1932,
Spain,1933,
Spain,1934,
Spain,1935,
Spain,1936,
Spain,1937,
Spain,1938,
Spain,1939,
Spain,1940,
Spain,1941,
Spain,1942,
Spain,1943,
Spain,1944,
Spain,1945,
Spain,1946,
Spain,1947,
Spain,1948,
Spain,1949,
Spain,1950,
Spain,1951,
Spain,1952,
Spain,1953,
Spain,1954,
Spain,1955,
Spain,1956,
Spain,1957,
Spain,1958,
Spain,1959,
Spain,1960,
Spain,1961,
Spain,1962,
Spain,1963,
Spain,1964,
Spain,1965,0.0
Spain,1966,0.0
Spain,1967,0.0
Spain,1968,0.08
Spain,1969,0.83
Spain,1970,0.92
Spain,1971,2.52
Spain,1972,4.75
Spain,1973,6.55
Spain,1974,7.22
Spain,1975,7.54
Spain,1976,7.56
Spain,1977,6.52
Spain,1978,7.65
Spain,1979,6.7
Spain,1980,5.19
Spain,1981,9.57
Spain,1982,8.77
Spain,1983,10.66
Spain,1984,23.09
Spain,1985,28.04
Spain,1986,37.46
Spain,1987,41.27
Spain,1988,50.47
Spain,1989,56.13
Spain,1990,54.27
Spain,1991,55.58
Spain,1992,55.78
Spain,1993,56.06
Spain,1994,55.31
Spain,1995,55.46
Spain,1996,56.33
Spain,1997,55.3
Spain,1998,58.99
Spain,1999,58.85
Spain,2000,62.21
Spain,2001,63.71
Spain,2002,63.02
Spain,2003,61.88
Spain,2004,63.61
Spain,2005,57.54
Spain,2006,60.13
Spain,2007,55.1
Spain,2008,58.97
Spain,2009,52.76
Spain,2010,61.99
Spain,2011,57.72
Spain,2012,61.47
Spain,2013,56.73
Spain,2014,57.31
Spain,2015,57.2
Spain,2016,58.63
Spain,2017,58.04
Spain,2018,55.77
Spain,2019,58.35
Spain,2020,58.3
Spain,2021,56.56
Spain,2022,58.53
Spain,2023,57.10752235237912
Spain,2024,53.4642141301265
Spain,2025,47.7697192302593
Spain,2026,43.61784654878868
Spain,2027,38.310869533585574
Spain,2028,33.8675552354421
Spain,2029,28.77880850651851
Spain,2030,24.17232485269563
Spain,2031,19.205517907138635
Spain,2032,14.50792159501816
Spain,2033,9.609189558102159
Spain,2034,4.860732005418029
Spain,2035,0.0
Spain,2036,0.0
Spain,2037,0.0
Spain,2038,0.0
Spain,2039,0.0
Spain,2040,0.0
Spain,2041,0.0
Spain,2042,0.0
Spain,2043,0.0
Spain,2044,0.0
Spain,2045,0.0
Spain,2046,0.0
Spain,2047,0.0
Spain,2048,0.0
Spain,2049,0.0
Spain,2050,0.0
Spain,2051,0.0
Spain,2052,0.0
Spain,2053,0.0
Spain,2054,0.0
Spain,2055,0.0
Spain,2056,0.0
Spain,2057,0.0
Spain,2058,0.0
Spain,2059,0.0
Spain,2060,0.0
Spain,2061,0.0
Spain,2062,0.0
Spain,2063,0.0
Spain,2064,0.0
Spain,2065,0.0
Spain,2066,0.0
Spain,2067,0.0
Spain,2068,0.0
Spain,2069,0.0
Spain,2070,0.0
Spain,2071,0.0
Spain,2072,0.0
Spain,2073,0.0
Spain,2074,0.0
Spain,2075,0.0
Spain,2076,0.0
Spain,2077,0.0
Spain,2078,0.0
Spain,2079,0.0
Spain,2080,0.0
Spain,2081,0.0
Spain,2082,0.0
Spain,2083,0.0
Spain,2084,0.0
Spain,2085,0.0
Spain,2086,0.0
Spain,2087,0.0
Spain,2088,0.0
Spain,2089,0.0
Spain,2090,0.0
Spain,2091,0.0
Spain,2092,0.0
Spain,2093,0.0
Spain,2094,0.0
Spain,2095,0.0
Spain,2096,0.0
Spain,2097,0.0
Spain,2098,0.0
Spain,2099,0.0
Spain,2100,0.0
Belgium,1900,
Belgium,1901,
Belgium,1902,
Belgium,1903,
Belgium,1904,
Belgium,1905,
Belgium,1906,
Belgium,1907,
Belgium,1908,
Belgium,1909,
Belgium,1910,
Belgium,1911,
Belgium,1912,
Belgium,1913,
Belgium,1914,
Belgium,1915,
Belgium,1916,
Belgium,1917,
Belgium,1918,
Belgium,1919,
Belgium,1920,
Belgium,1921,
Belgium,1922,
Belgium,1923,
Belgium,1924,
Belgium,1925,
Belgium,1926,
Belgium,1927,
Belgium,1928,
Belgium,1929,
Belgium,1930,
Belgium,1931,
Belgium,1932,
Belgium,1933,
Belgium,1934,
Belgium,1935,
Belgium,1936,
Belgium,1937,
Belgium,1938,
Belgium,1939,
Belgium,1940,
Belgium,1941,
Belgium,1942,
Belgium,1943,
Belgium,1944,
Belgium,1945,
Belgium,1946,
Belgium,1947,
Belgium,1948,
Belgium,1949,
Belgium,1950,
Belgium,1951,
Belgium,1952,
Belgium,1953,
Belgium,1954,
Belgium,1955,
Belgium,1956,
Belgium,1957,
Belgium,1958,
Belgium,1959,
Belgium,1960,
Belgium,1961,
Belgium,1962,
Belgium,1963,
Belgium,1964,
Belgium,1965,0.0
Belgium,1966,0.01
Belgium,1967,0.09
Belgium,1968,0.06
Belgium,1969,0.02
Belgium,1970,0.06
Belgium,1971,0.0
Belgium,1972,0.01
Belgium,1973,0.08
Belgium,1974,0.15
Belgium,1975,6.78
Belgium,1976,10.04
Belgium,1977,11.94
Belgium,1978,12.51
Belgium,1979,11.41
Belgium,1980,12.55
Belgium,1981,12.86
Belgium,1982,15.66
Belgium,1983,24.11
Belgium,1984,27.74
Belgium,1985,34.6
Belgium,1986,39.39
Belgium,1987,41.97
Belgium,1988,43.1
Belgium,1989,41.22
Belgium,1990,42.72
Belgium,1991,42.86
Belgium,1992,43.46
Belgium,1993,41.93
Belgium,1994,40.62
Belgium,1995,41.36
Belgium,1996,43.34
Belgium,1997,47.41
Belgium,1998,46.17
Belgium,1999,49.02
Belgium,2000,48.16
Belgium,2001,46.35
Belgium,2002,47.36
Belgium,2003,47.38
Belgium,2004,47.31
Belgium,2005,47.6
Belgium,2006,46.65
Belgium,2007,48.23
Belgium,2008,45.57
Belgium,2009,47.22
Belgium,2010,47.94
Belgium,2011,48.23
Belgium,2012,40.29
Belgium,2013,42.64
Belgium,2014,33.7
Belgium,2015,26.1
Belgium,2016,43.52
Belgium,2017,42.23
Belgium,2018,28.6
Belgium,2019,43.52
Belgium,2020,34.43
Belgium,2021,50.33
Belgium,2022,44.11
Belgium,2023,43.706910556346095
Belgium,2024,40.06466800998392
Belgium,2025,36.42242546362175
Belgium,2026,32.78018291725957
