Date,Variable,Asia,East Europe,West Europe,Russia,North America,World,,,,,,
1985,nuclear_electricity,209.96,94.18,597.29,99.32,464.41,1465.16,,,,,,
1986,nuclear_electricity,226.17,89.95,644.88,105.22,507.1,1573.32,,,,,,
1987,nuclear_electricity,266.68,105.25,659.2,124.7,556.49,1712.32,,,,2022,2050,2100
1988,nuclear_electricity,250.92,137.58,704.52,134.81,637.58,1865.41,,,Asia,759.40,8350.94,24614.03
1989,nuclear_electricity,265.7,136.21,745.94,136.34,636.91,1921.1,,,East Europe,158.28,623.33,1073.80
1990,nuclear_electricity,287.15,146.23,748.28,118.33,682.62,1982.61,,,West Europe,594.27,1370.80,2981.14
1991,nuclear_electricity,306.66,142.86,774.89,119.98,733.39,2077.78,,,Russia,223.41,500.00,720.37
1992,nuclear_electricity,314.83,137.2,787.16,119.63,735.28,2094.1,,,North America,864.18,2644.46,5031.16
1993,nuclear_electricity,348.88,139.39,821.24,119.19,740.62,2169.32,,,World,2599.54,13489.54,34420.51
1994,nuclear_electricity,372.45,131.53,820.25,97.82,785.47,2207.52,,,,,,
1995,nuclear_electricity,410.29,137.3,838.77,99.53,814.44,2300.33,,,,,,
1996,nuclear_electricity,431.37,151.27,879.23,109.03,810.24,2381.14,,,,,,
1997,nuclear_electricity,459.76,152.13,890.15,108.5,754.15,2364.69,,,,,,
1998,nuclear_electricity,478.48,149.52,884.21,103.72,789.42,2405.35,,,,,,
1999,nuclear_electricity,486.07,143.52,896.69,121.87,849.56,2497.71,,,,,,
2000,nuclear_electricity,495.87,153.66,895.14,122.46,830.86,2497.99,,,,,,
2001,nuclear_electricity,502.89,158.51,923.46,125.36,849.98,2560.2,,,,,,
2002,nuclear_electricity,515.33,168.5,926.91,134.14,861.07,2605.95,,,,,,
2003,nuclear_electricity,457.27,173.82,930.95,141.17,844.86,2548.07,,,,,,
2004,nuclear_electricity,525.4,179.76,942.68,137.47,883.13,2668.44,,,,,,
2005,nuclear_electricity,546.33,179.59,930.21,137.64,879.14,2672.91,,,,,,
2006,nuclear_electricity,562.78,181.51,926.42,144.65,890.06,2705.42,,,,,,
2007,nuclear_electricity,540.77,180.9,874.83,147.99,904.56,2649.05,,,,,,
2008,nuclear_electricity,524.46,184.8,869.96,152.06,903.87,2635.15,,,,,,
2009,nuclear_electricity,549.14,177.5,827.13,152.78,894.09,2600.64,,,,,,
2010,nuclear_electricity,578.54,174.35,857.75,159.41,898.16,2668.21,,,,,,
2011,nuclear_electricity,478.54,177.69,846.02,162.02,888.15,2552.42,,,,,,
2012,nuclear_electricity,342.26,178.99,818.95,166.29,867.23,2373.72,,,,,,
2013,nuclear_electricity,344.34,170.84,815.2,161.38,897.98,2389.74,,,,,,
2014,nuclear_electricity,370.39,177.42,814.85,169.07,907.68,2439.41,,,,,,
2015,nuclear_electricity,418.24,172.47,795.28,182.81,904.41,2473.21,,,,,,
2016,nuclear_electricity,468.72,162.94,778.84,184.05,911.65,2506.2,,,,,,
2017,nuclear_electricity,495.79,172.16,763.54,190.12,911.09,2532.7,,,,,,
2018,nuclear_electricity,556,172.4,764.51,181.76,915.43,2590.1,,,,,,
2019,nuclear_electricity,648.01,172.66,758.28,195.54,915.76,2690.25,,,,,,
2020,nuclear_electricity,657.98,166.18,668.17,215.74,893.4,2601.47,,,,,,
2021,nuclear_electricity,722.63,182.29,706.75,222.44,878.44,2712.55,,,,,,
2022,nuclear_electricity,759.4036314,158.28,594.27,223.41,864.18,2599.543631,,,,,,
2023,nuclear_electricity,788.2712506,171.9025656,576.5023051,226.3437382,857.6068141,2620.626674,,,,,,
2024,nuclear_electricity,944.2397933,193.3025565,615.2005979,252.8448973,960.1070697,2965.694915,,,,,,
2025,nuclear_electricity,1103.946997,214.7593103,653.0009734,279.3460564,1063.451294,3314.504631,,,,,,
2026,nuclear_electricity,1302.545261,236.2536395,690.8065454,305.8472155,1167.022115,3702.474776,,,,,,
