Date,Variable,World Nuclear Electricity - Scenario 1,World Nuclear Electricity - Scenario 2,World Electricity Demand,,,,,,,,,,
1985,nuclear_electricity,1465.16,1465.16,9886.06,,,,,,,,,,
1986,nuclear_electricity,1573.32,1573.32,10180.79,,,,,,,,,,
1987,nuclear_electricity,1712.32,1712.32,10670.62,,,,,,,,,,
1988,nuclear_electricity,1865.41,1865.41,11140.63,,,,,,,,,,
1989,nuclear_electricity,1921.1,1921,11657.95,,,,,2022%,2022,2050%,2050,2100%,2100
1990,nuclear_electricity,1982.61,1982.61,11960.96,,,,World Nuclear Electricity - Scenario 1,9%,2621.553631,29%,13489.53585,44%,34420.50743
1991,nuclear_electricity,2077.78,2077.24,12222.06,,,,World Nuclear Electricity - Scenario 2,9%,2621.553631,18%,8322.968,11%,8322.968
1992,nuclear_electricity,2094.1,2093.64,12335.95,,,,World Electricity Demand,100%,28660.98,100%,46400.78496,100%,78079.36405
1993,nuclear_electricity,2169.32,2168.87,12599.48,,,,,,,,,,
1994,nuclear_electricity,2207.52,2207.14,12923.58,,,,,,,,,,
1995,nuclear_electricity,2300.33,2300.25,13381.88,,,,,,,,,,
1996,nuclear_electricity,2381.14,2381.05,13797.19,,,,,,,,,,
1997,nuclear_electricity,2364.69,2364.39,14128.65,,,,,,,,,,
1998,nuclear_electricity,2405.35,2405.26,14511.02,,,,,,,,,,
1999,nuclear_electricity,2497.71,2497.71,14925.88,,,,,,,,,,
2000,nuclear_electricity,2497.99,2497.99,15107.77,,,,,,,,,,
2001,nuclear_electricity,2560.2,2560.2,15328.1,,,,,,,,,,
2002,nuclear_electricity,2605.95,2605.95,15870.67,,,,,,,,,,
2003,nuclear_electricity,2548.07,2548.07,16430.25,,,,,,,,,,
2004,nuclear_electricity,2668.44,2668.44,17225.04,,,,,,,,,,
2005,nuclear_electricity,2672.91,2672.91,17925.88,,,,,,,,,,
2006,nuclear_electricity,2705.42,2705.42,18627.83,,,,,,,,,,
2007,nuclear_electricity,2649.05,2649.05,19489.04,,,,,,,,,,
2008,nuclear_electricity,2635.15,2635.15,19863.99,,,,,,,,,,
2009,nuclear_electricity,2600.64,2600.64,19722.55,,,,,,,,,,
2010,nuclear_electricity,2668.21,2668.21,21069.53,,,,,,,,,,
2011,nuclear_electricity,2552.42,2552.42,21768.75,,,,,,,,,,
